UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVICE AREA,REGULATORY STATUS
5416,2743,Cedar Cliff,Jackson,NC,28783,East Fork Of Tuckasegee River,SERC,22,,RE
5416,2745,Franklin,Macon,NC,28734,Little Tennessee River,SERC,22,,RE
5416,2746,Mission,Clay,NC,28906,Hiwassee River,SERC,22,,RE
5416,2747,Nantahala,Macon,NC,28781,Nantahala River,SERC,22,,RE
5416,2749,Tennessee Creek,Jackson,NC,28783,East Fork Of Tuckasegee River,SERC,22,,RE
5416,2750,Thorpe,Jackson,NC,28783,West Fork Of Tuckasegee River,SERC,22,,RE
5416,2751,Tuckasegee,Jackson,NC,28783,West Fork Of Tuckasegee River,SERC,22,,RE
5416,3254,Buzzard Roost,Greenwood,SC,29037,Saluda River,SERC,22,,RE
5416,3255,Cedar Creek,Lancaster,SC,29055,Catawba River,SERC,22,,RE
5416,3256,Dearborn,Chester,SC,29055,Catawba River,SERC,22,,RE
5416,3257,Fishing Creek,Chester,SC,29055,Catawba River,SERC,22,,RE
5416,3258,Gaston Shoals,Cherokee,SC,29702,Broad River,SERC,22,,RE
5416,3259,Great Falls,Chester,SC,29055,Catawba River,SERC,22,,RE
5416,3262,Jocassee,Pickens,SC,29676,Keowee River,SERC,22,,RE
5416,3264,W S Lee,Anderson,SC,29697,Saluda River And Cooling Tower,SERC,22,,RE
5416,3265,Oconee,Oconee,SC,29672,Keowee River,SERC,22,,RE
5416,3266,Rocky Creek,Fairfield,SC,29055,Catawba River,SERC,22,,RE
5416,3270,Wateree,Kershaw,SC,29130,Catawba Wateree River,SERC,22,,RE
5416,3271,Wylie,York,SC,29708,Catawba River,SERC,22,,RE
5416,3272,99 Islands,Cherokee,SC,29702,Broad River,SERC,22,,RE
5416,6036,Catawba,York,SC,29745,Lake Wylie,SERC,22,,RE
5416,6038,McGuire,Mecklenburg,NC,28078,Lake Norman,SERC,22,,RE
5416,6438,Queens Creek,Macon,NC,28781,Queens Creek,SERC,22,,RE
5416,6517,Keowee,Pickens,SC,29672,Keowee River,SERC,22,,RE
5416,7125,Bad Creek,Oconee,SC,29676,Lake Jocassee - Bad Creek,SERC,22,,RE
5416,7277,Lincoln Combustion,Lincoln,NC,28164,Killian Creek,SERC,22,,RE
5416,7981,Mill Creek,Cherokee,SC,29702,Mill Creek,SERC,22,,RE
5416,8042,Belews Creek,Stokes,NC,27052,Belews Lake,SERC,22,,RE
5416,55116,Rockingham County CT Station,Rockingham,NC,27320,,SERC,22,,RE
5421,55424,Vigo Energy Facility,Vigo,IN,47885,Wabash River,,22,PSI Energy Inc,NR
5423,55235,Bollinger Generating Station,Bollinger,MO,63764,N/A,SPP,22,Duke Energy Corporation,NR
5436,55371,Ruston Generating Facility,Lincoln,LA,71270,Well,SERC,22,Duke Energy Corporation,NR
5437,55746,Trimble,Trimble,KY,40045,Ohio River,,22,"Shelby Energy Co-op, Inc",NR
5439,55751,Stephens Energy Facility,Stephens,OK,73534,City Of Duncan,SPP,22,American Electric Power Co Inc,NR
5441,55750,Orleans Energy Facility,Burke,LA,70112,Mississippi River,SERC,22,"Entergy Power, Inc",NR
5443,55825,Wythe Energy Facility,Wythe,VA,24360,,,22,Appalachian Power Co,NR
5447,55669,Duke Energy Homochitto LLC,Homoshitto,MS,39647,Homoshitto River,SERC,22,Entergy Gulf States Inc,NR
5460,54948,Fullerton,Andrews,TX,79714,,ERCOT,324,TXU Electric Delivery Company,NR
5463,54798,Duraco Products,Cook,IL,60107,,RFC,326,Commonwealth Edison Co,NR
5468,55660,Leavenworth Energy Facility,Leaveworth,KS,66043,Wells,SPP,22,Kansas City Power & Light Co,NR
5473,54428,Durango Georgia Paper,Camden,GA,31558,Upper Floridan Aquifer,SERC,322122,Georgia Power Co,NR
5474,55468,Duke Energy Fort Pierce LLC,St Loucie,FL,34981,Aquifer- Floridan,FRCC,22,Florida Power & Light Company,NR
5476,55806,Frederick Energy Facility,Frederick,MD,21703,TBA,,22,Allegany Power,NR
5478,55681,Duke Energy Curry,Curry,NM,88101,-,WECC,22,El Paso Electric Company,NR
5482,54870,Durgin & Crowell Lumber,Sullivan,NH,3284,N/A,NPCC,321,Public Service Co of NH,NR
5483,54987,Woodridge Greene Valley Treatment Plant,Du Page,IL,60517,Treated Wastewater,RFC,2213,Commonwealth Edison Co,NR
5490,55253,Crete Energy Park,Will,IL,60417,,RFC,22,Commonwealth Edison Co,NR
5499,54531,Stingray Facility,Cameron,LA,70631,N/A,SERC,324,"Jefferson Davis Elec Coop, Inc",NR
5502,55786,PPL Edgewood Energy LLC,Suffolk,NY,11717,Municipality,NPCC,22,Long Island Power Authority,NR
5511,2480,Danskammer Generating Station,Orange,NY,12550,Hudson River,NPCC,22,Central Hudson Gas & Elec Corp,NR
5511,8006,Roseton Generating Station,Orange,NY,12550,Hudson River,NPCC,22,Central Hudson Gas & Elec Corp,NR
5517,889,Baldwin Energy Complex,Randolph,IL,62217,Baldwin Lake,SERC,22,Illinois Power Co,NR
5517,891,Havana,Mason,IL,62644,Illinois River,SERC,22,Central Illinois Pub Serv Co,NR
5517,892,Hennepin Power Station,Putnam,IL,61327,Illinois River,SERC,22,Illinois Power Co,NR
5517,894,Oglesby,La Salle,IL,61348,Municipality,SERC,22,Illinois Power Co,NR
5517,895,Stallings,Madison,IL,62040,Municipality,SERC,22,Illinois Power Co,NR
5517,897,Vermilion,Vermilion,IL,61858,Vermillion Reservoir,SERC,22,Illinois Power Co,NR
5517,898,Wood River,Madison,IL,62002,Mississippi River,SERC,22,Illinois Power Co,NR
5517,7760,Tilton,Vermilion,IL,61833,Municipality,SERC,22,Illinois Power Co,NR
5519,50627,ExxonMobil Oil Joliet Refinery,Will,IL,60410,Desplaines River,RFC,32411,Commonwealth Edison Co,NR
5528,55718,DTE East China LLC,St Clair,MI,48054,N/A,RFC,22,Detroit Edison Co,NR
5529,6220,Durant,Cedar,IA,52747,Wells,MRO,22,,RE
5530,10805,Kenilworth Energy Facility,Union,NJ,7033,Well,RFC,22,Public Service Elec & Gas Co,NR
5532,55951,Agua Mansa Power Plant,San Bernardino,CA,92324,Reclaimed Municipal Wastewater,WECC,22,City of Colton,RE
5533,10776,E F Oxnard Energy Facility,Ventura,CA,93030,Well,WECC,22,Southern California Edison Co,NR
5534,54887,DSM Pharmaceuticals,Pitt,NC,27835,N/A,SERC,325,Greenville Utilities Comm,NR
5543,10788,Belle West Virginia Plant,Kanawha,WV,25015,Kanawha River,RFC,32512,Appalachian Power Co,NR
5543,10789,Sabine River Works,Orange,TX,77631,Sabine River Authority,SERC,325211,Entergy Gulf States Inc,NR
5543,10797,Old Hickory Plant,Davison,TN,37138,Old Hickory Lake,SERC,325211,Tennessee Valley Authority,NR
5561,55848,East Altamont Energy Center,Alameda County,CA,95376,Municipality,WECC,22,Pacific Gas & Electric Co,NR
5563,7865,Earlville,Delaware,IA,52041,Municipality,MRO,22,,RE
5569,55831,McAllen Energy Facility,Hidalgo,TX,78503,,ERCOT,22,,NR
5571,376,Pardee,Calaveras,CA,95252,Pardee Reservoir,WECC,22,,RE
5571,537,Camanche,San Joaquin,CA,95227,Comanche Reservoir,WECC,22,,RE
5571,56036,WWTP Power Generation Station,Alameda,CA,94607,WWTP and Potable water,WECC,22,,RE
5580,54,J K Smith,Clark,KY,40391,Kentucky River,SERC,22,,RE
5580,1384,Cooper,Pulaski,KY,42501,Cumberland Lake,SERC,22,,RE
5580,1385,Dale,Clark,KY,40391,Kentucky River,SERC,22,,RE
5580,6041,H L Spurlock,Mason,KY,41056,Wells/Ohio River,SERC,22,,RE
5580,56277,Bavarian LFGTE,Boone,KY,41094,,SERC,22,,RE
5580,56278,Green Valley LFGTE,Greenup,KY,41102,,RFC,22,,RE
5580,56279,Laurel Ridge LFGTE,Laurel,KY,40740,,SERC,22,,RE
5580,56280,Hardin County LFGTE,Hardin,KY,42701,,SERC,22,,RE
5580,56327,Pendleton County LFGTE,Pendleton,KY,41006,,SERC,22,,RE
5610,50481,Tennessee Eastman Operations,Sullivan,TN,37662,South Holston River,SERC,325,Kingsport Power Co,NR
5623,50955,Eastman Gelatine,Essex,MA,1960,Wells,NPCC,325,City of Peabody,NR
5624,10025,Kodak Park Site,Monroe,NY,14652,Lake Ontario,NPCC,3345,Rochester Gas and Electric Corporation,NR
5625,1580,Easton,Talbot,MD,21601,Municipality,RFC,22,,RE
5625,4257,Easton 2,Talbot,MD,21601,Municipality,RFC,22,,RE
5659,1750,Manistique,Schoolcraft,MI,49854,Closed System,RFC,22,,RE
5659,1751,Edison Sault,Chippewa,MI,49783,Lake Superior/ St. Marys River,RFC,22,,RE
5670,10603,Ebensburg Power,Cambria,PA,15931,Wilmore Dam,RFC,22,Pennsylvania Electric Co,NR
5677,50077,EQ Waste Energy Services,Wayne,MI,48111,Municipality,RFC,22,Detroit Edison Co,NR
5693,55775,Union Mine Disposal Site,El Dorado,CA,95667,,WECC,562212,Pacific Gas & Electric Co,
5695,55077,El Dorado Energy,Clark,NV,89005,Municipality,WECC,22,Nevada Power Company,NR
5701,9,Copper,El Paso,TX,79915,Municipality,WECC,22,,RE
5701,2444,Rio Grande,Dona Ana,NM,88063,Wells,WECC,22,,RE
5701,3456,Newman,El Paso,TX,79934,Wells/Treated Municipal Waste,WECC,22,,RE
5701,7732,Turbine,El Paso,TX,79934,,WECC,22,,RE
5701,55578,Hueco Mountain Wind Ranch,Hudspeth,TX,79839,N/A,WECC,22,,RE
5712,55670,Muskego Energy Center,Waukesha,WI,53150,Wells,,22,Wisconsin Electric Power Co,NR
5744,3571,Electra,Wichita,TX,76360,,ERCOT,22,,RE
5748,887,Joppa Steam,Massac,IL,62953,Ohio River,SERC,22,Central Illinois Pub Serv Co,NR
5761,55223,Ennis Tractebel Power LP,Ellis,TX,75119,Municipality,ERCOT,22,TXU Electric Delivery Company,NR
5773,1971,Elk River,Sherburne,MN,55330,surface water,MRO,22,,RE
5781,54835,Eli Lilly and Co Tippecanoe Laboratories,Tippencanoe,IN,47909,N/A,RFC,325,Duke Energy LP,NR
5802,1274,Ellinwood,Barton,KS,67526,Municipality,SPP,22,,RE
5811,10817,Port Leyden Hydroelectric Project,Lewis,NY,13433,Black River,NPCC,22,Niagara Mohawk Power Corp,NR
5834,4113,Elroy,Juneau,WI,53929,Municipality,MRO,22,,RE
5850,2235,Emerson,Dixon,NE,68733,Municipality,MRO,22,,RE
5860,1239,Riverton,Cherokee,KS,66730,Spring River,SPP,22,,RE
5860,2076,Asbury,Jasper,MO,64832,Wells,SPP,22,,RE
5860,6223,Empire Energy Center,Jasper,MO,64862,N/A,SPP,22,,RE
5860,6280,Ozark Beach,Taney,MO,65653,White River,SPP,22,,RE
5860,7296,State Line Combined Cycle,Jasper,MO,64804,Wells,SPP,22,,RE
5879,55452,Endless Mountains Energy LLC,Bradford,PA,18854,,,22,Pennsylvania Electric Co,NR
5886,55722,Pointe Coupee Energy Center,Pointe Coupee Parish,LA,70760,Mississippi River,SERC,22,Entergy Louisiana Inc,NR
5886,55723,Iberville Energy Center,Iberville Parish,LA,70764,Mississippi River,SERC,22,Entergy Louisiana Inc,NR
5886,55724,Caddo Parish Energy Center,Caddo Parish,LA,71107,City Of Shreveport,SPP,22,American Electric Power Co Inc,NR
5886,55940,American Falls Energy Center,Power,ID,83211,Municipality,WECC,22,,NR
5886,55941,Payette Energy Center,Payette,ID,83661,Municipality,WECC,22,,NR
5886,55942,Gallup Energy Center,McKinley,NM,87301,Wells; Municipality,WECC,22,,NR
5886,55943,Cambray Energy Center,Luna,NM,88030,Municipality,WECC,22,,NR
5888,55725,Hawkeye Generating LLC,Harris,IA,77046,South Iowa Rural Water Assc,SERC,22,MidAmerican Power LLC,NR
5890,55827,Georgia Energy Project 1 LLC,Thomas,GA,31792,Thomasville City Utilities,SERC,22,City of Thomasville,NR
5890,55828,Kentucky Energy Project LLC,Johnson,KY,41219,Paintsville Utilities,,22,"East Kentucky Power Coop, Inc",NR
5892,54571,North East Cogeneration Plant,Erie,PA,16428,North East Township,RFC,22,Niagara Mohawk Power Corp,NR
5901,10026,Encina Water Pollution Control,San Diego,CA,92011,,WECC,22132,San Diego Gas & Electric Co,NR
5906,54453,ENXCO Wind Farm V,Solano,CA,94512,,WECC,22,Pacific Gas & Electric Co,NR
5906,55741,Ridge Crest Wind Partners,Logan,CO,80747,,WECC,22,Excelsior Electric Member Corp,NR
5906,55980,Champepaden Wind Power,Murray,MN,56122,,MRO,22,Nobles Cooperative Electric,NR
5906,55981,Moulton Wind Power,Murray,MN,56123,,MRO,22,Nobles Cooperative Electric,NR
5906,56213,Patterson Pass,Alameda,CA,95377,,WECC,22,Pacific Gas & Electric Co,NR
5906,56302,Oasis Wind,Kern,CA,93501,,WECC,22,Southern California Edison Co,NR
5906,56617,Fenton Wind Farm,Murray,MN,56124,,MRO,22,Nobles Cooperative Electric,NR
5914,2540,Allens Falls,St Lawrence,NY,13672,St Regis,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2543,Beardslee,Herkimer,NY,13365,East Canada Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2544,Belfort,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2545,Bennetts Bridge,Oswego,NY,13302,Salmon,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2546,Black River,Jefferson,NY,13612,Black,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2547,Blake,St Lawrence,NY,13672,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2548,Browns Falls,St Lawrence,NY,13639,Oswegatchie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2550,Chasm,Franklin,NY,12953,Salmon (North),NPCC,22,Niagara Mohawk Power Corp,NR
5914,2551,Colton,St Lawrence,NY,13625,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2552,Deferiet,Jefferson,NY,13628,Black,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2555,Eagle,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2556,Eel Weir,St Lawrence,NY,13670,Owegatchie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2557,Effley,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2559,Elmer,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2560,Ephratah,Fulton,NY,13339,Caroga Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2561,East Norfolk,St Lawrence,NY,13667,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2562,Five Falls,St Lawrence,NY,13625,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2563,Flat Rock,St Lawrence,NY,13639,Oswegatchie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2564,Franklin,Franklin,NY,12913,Saranac,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2566,Fulton,Oswego,NY,13069,Oswego,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2568,Glenwood,Orleans,NY,14103,Oak Orchard Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2569,Granby,Oswego,NY,13069,Oswego,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2571,Hannawa,St Lawrence,NY,13647,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2572,Herrings,Jefferson,NY,13619,Black,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2573,Heuvelton,St Lawrence,NY,13654,Oswegatchie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2575,High Falls,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2576,Higley,St Lawrence,NY,13625,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2578,Hydraulic Race,Niagara,NY,14094,Barge Canal,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2579,Inghams,Fulton,NY,13329,East Canada Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2580,Johnsonville,Rensselaer,NY,12094,Hoosie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2581,Kamargo,Jefferson,NY,13612,Black,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2582,Lighthouse Hill,Oswego,NY,13302,Salmon,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2583,Macomb,Franklin,NY,12953,Salmon (North),NPCC,22,Niagara Mohawk Power Corp,NR
5914,2586,Minetto,Oswego,NY,13126,Oswego,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2588,Moshier,Herkimer,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2590,Norfolk,St Lawrence,NY,13667,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2591,Norwood,St Lawrence,NY,13668,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2595,Oswego Falls East,Oswego,NY,13069,Oswego,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2596,Oswego Falls West,Oswego,NY,13069,Oswego,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2597,Parishville,St Lawrence,NY,13672,St Regis,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2598,Piercefield,St Lawrence,NY,12973,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2599,Prospect,Oneida,NY,13435,West Canada Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2600,Rainbow Falls,St Lawrence,NY,13672,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2601,Raymondville,St Lawrence,NY,13667,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2604,South Edwards,St Lawrence,NY,13639,Oswegatchie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2605,School Street,Albany,NY,12047,Mohawk,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2606,Schaghticoke,Rensselaer,NY,12154,Hoosic,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2607,Schuylerville,Saratoga,NY,12871,Fish Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2608,Sewalls,Jefferson,NY,13601,Black,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2609,Sherman Island,Saratoga,NY,12804,Hudson,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2610,Soft Maple,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2611,South Colton,St Lawrence,NY,13625,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2612,Spier Falls,Saratoga,NY,12801,Hudson,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2613,Stark,St Lawrence,NY,13625,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2614,Stewarts Bridge,Saratoga,NY,12846,Sacandaga,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2616,Sugar Island,St Lawrence,NY,13676,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2617,Taylorville,Lewis,NY,13327,Beaver,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2619,Trenton Falls,Oneida,NY,13304,West Canada Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2621,Varick,Oswego,NY,13126,Oswego,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2623,Waterport,Orleans,NY,14571,Oak Orchard Creek,NPCC,22,Niagara Mohawk Power Corp,NR
5914,2624,Yaleville,St Lawrence,NY,13667,Raquette,NPCC,22,Niagara Mohawk Power Corp,NR
5914,6527,E J West,Saratoga,NY,12846,Sacandaga,NPCC,22,Niagara Mohawk Power Corp,NR
5914,7583,Talcville,St Lawrence,NY,13635,Oswegatchie,NPCC,22,Niagara Mohawk Power Corp,NR
5914,10530,Feeder Dam Hydro Plant,Saratoga,NY,12803,Hudson,NPCC,22,Niagara Mohawk Power Corp,NR
5914,10531,Beebee Island Hydro Plant,Jefferson,NY,13601,Black,NPCC,22,Niagara Mohawk Power Corp,NR
5914,51033,West Delaware Tunnel Plant,Sullivan,NY,12740,NYC W. Delaware Tunnel Outlet,NPCC,22,Central Hudson Gas & Elec Corp,NR
5932,925,Hydro Plant No 3,Sanpete,UT,84627,New Canyon Culinary Wtr Spr,WECC,22,,RE
5942,54825,Building 64,De Kalb,GA,30346,,SERC,92,Georgia Power Co,NR
5943,6110,James A Fitzpatrick,Oswego,NY,13093,Lake Ontario,NPCC,22,Niagara Mohawk Power Corp,NR
5948,55712,Ethan North Lovington Unit,Lea,NM,88260,Wells,WECC,22,"Lea County Electric Coop, Inc",NR
5948,55974,Ethan Taft,Kern,CA,93224,Air Cooled Only,WECC,22,Pacific Gas & Electric Co,NR
5956,3751,Vermont Yankee,Windham,VT,5354,Connecticut River,NPCC,22,Central Vermont Pub Serv Corp,NR
5957,1276,Erie,Neosho,KS,66733,Municipality,SPP,22,,RE
5957,7766,Erie Energy Center,Neosho,KS,66733,Municipality,SPP,22,,RE
5959,50920,Erie Coke,Erie,PA,16507,Municipality,RFC,331111,Pennsylvania Electric Co,NR
5966,10208,Escanaba Paper Company,Delta,MI,49829,Lake Michigan,MRO,322122,Upper Peninsula Power Co,NR
5969,457,Bear Valley,San Diego,CA,92025,Lake Wohlford,WECC,22,,RE
5976,55623,Kentucky Eastern Power LLC,Martin,KY,40507,E. Branch Of Kentucky River,SERC,22,American Electric Power Co Inc,NR
5976,55657,Pike County Power LLC,Pike,IN,47567,,RFC,22,Cinergy Resources Inc,NR
5976,55658,Kentucky Western Power LLC,Marshall,KY,40507,,SERC,22,Tennessee Valley Authority,NR
5976,55659,Sullivan County Power LLC,Sulliva,IN,47882,,SERC,22,"Hoosier Energy R E C, Inc",NR
5989,54228,Erving Paper Mills,Franklin,MA,1344,Millers River,NPCC,322122,Massachusetts Electric Co,NR
5998,1137,Estherville,Emmet,IA,51334,Municipality,MRO,22,,RE
6017,55125,Vansycle,Umatilla,OR,97835,,WECC,22,Bonneville Power Admin,NR
6022,3067,Carmen Smith,Linn,OR,97413,"McKenzie River, Smith River",WECC,22,,RE
6022,3068,Leaburg,Lane,OR,97477,McKenzie River,WECC,22,,RE
6022,3071,Walterville,Lane,OR,97477,McKenzie River,WECC,22,,RE
6022,7508,Stone Creek,Clackamas,OR,97023,South Fork Clackamas River,WECC,22,,RE
6022,54249,Smith Falls Hydro Project,Boundary,ID,83853,Smith Creek,WECC,22,,RE
6027,2497,Indian Point 2,Westchester,NY,10511,Hudson River,NPCC,22,Consolidated Edison Co-NY Inc,NR
6028,8907,Indian Point 3,West Chester,NY,10511,Hudson River,NPCC,22,Consolidated Edison Co-NY Inc,NR
6030,55859,Entergy Indian PT Peaking Fac,Westchester,NY,10601,Municipality,NPCC,22,Consolidated Edison Co-NY Inc,NR
6033,55705,Evergreen Energy Facility,Hidalgo,NM,88045,,WECC,22,Texas-New Mexico Power Co,NR
6035,869,Dresden Generating Station,Grundy,IL,60450,Kankakee River,RFC,22,Commonwealth Edison Co,NR
6035,880,Quad Cities Generating Station,Rock Island,IL,61242,Mississippi River,RFC,22,Commonwealth Edison Co,NR
6035,3157,Chester Generating Station,Chester,PA,19013,,RFC,22,PECO Energy Co,NR
6035,3159,Cromby Generating Station,Chester,PA,19460,Schuylkill River,RFC,22,PECO Energy Co,NR
6035,3160,Delaware Generating Station,Philadelphia,PA,19125,Delaware River,RFC,22,PECO Energy Co,NR
6035,3161,Eddystone Generating Station,Delaware,PA,19022,Delaware River,RFC,22,PECO Energy Co,NR
6035,3162,Falls,Bucks,PA,19067,,RFC,22,PECO Energy Co,NR
6035,3163,Moser Generating Station,Montgomery,PA,19464,,RFC,22,PECO Energy Co,NR
6035,3164,Muddy Run,Lancaster,PA,17518,Susquehanna River,RFC,22,PECO Energy Co,NR
6035,3166,Peach Bottom,York,PA,17314,Susquehanna River,RFC,22,PECO Energy Co,NR
6035,3168,Richmond Generating Station,Philadelphia,PA,19137,,RFC,22,PECO Energy Co,NR
6035,3169,Schuylkill Generating Station,Philadelphia,PA,19146,Schuylkill River,RFC,22,PECO Energy Co,NR
6035,3170,Southwark,Philadelphia,PA,19148,,RFC,22,PECO Energy Co,NR
6035,3453,Mountain Creek,Dallas,TX,75211,Mt Creek Lake,ERCOT,22,TXU Electric Delivery Company,NR
6035,3491,Handley,Tarrant,TX,76124,Lake Arlington,ERCOT,22,TXU Electric Delivery Company,NR
6035,6022,Braidwood Generation Station,Will,IL,60407,Kanakee River  Cooling Lake,RFC,22,Commonwealth Edison Co,NR
6035,6023,Byron Generating Station,Ogle,IL,61010,Rock River  Cooling Tower,RFC,22,Commonwealth Edison Co,NR
6035,6026,LaSalle Generating Station,La Salle,IL,61341,Illinois River   Cooling Lake,RFC,22,Commonwealth Edison Co,NR
6035,6105,Limerick,Montgomery,PA,19464,Schuylkill & Delaware Rivers,RFC,22,PECO Energy Co,NR
6035,7690,Pennsbury,Bucks,PA,19067,,RFC,22,PECO Energy Co,NR
6035,7701,Fairless Hills,Bucks,PA,19030,Delaware River,RFC,22,PECO Energy Co,NR
6035,8012,Croydon CT Generating Station,Bucks,PA,19020,,RFC,22,PECO Energy Co,NR
6035,55281,Southeast Chicago Energy Project,Cook,IL,60617,Municipality,RFC,22,Commonwealth Edison Co,NR
6035,55365,Exelon LaPorte Generating Station,Harris,TX,77571,Municipality,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
6036,50051,Penobscot Energy Recovery,Penobscot,ME,4474,Municipality,NPCC,562212,Bangor Hydro-Electric Co,NR
6037,55487,Everett Delta II Power LLC,Snohomish,WA,98201,,WECC,22,Bonneville Power Admin,NR
6041,55664,Harrison County Power Project,Harrison,TX,75670,City Of Longview,SPP,22,Southwestern Electric Power Co,NR
6042,10027,EUIPH Wind Farm,Riverside,CA,92240,,WECC,22,Southern California Edison Co,NR
6059,55530,Rowan Generating Facility,Rowan,NC,27054,Municipality,SERC,22,Duke Energy Corporation,NR
6072,50273,Pioneer Valley Resource Recovery,Hampden,MA,1001,Municipality,NPCC,22,Western Massachusetts Elec Co,NR
6088,10690,ExxonMobil Baton Rouge Turbine Generator,East Baton Rouge,LA,70821,wellwater,SERC,32512,Entergy Gulf States Inc,NR
6088,55150,ExxonMobil Baton Rouge Cogen,East Baton Rouge,LA,70821,Well Water,SERC,32512,Entergy Gulf States Inc,NR
6090,50625,ExxonMobil Beaumont Refinery,Jefferson,TX,77704,Lower Neches Valley Authority,SERC,32411,Entergy Gulf States Inc,NR
6091,10436,ExxonMobil Baytown Refinery,Harris,TX,77520,San Jacinto River Authority,ERCOT,324,"CenterPoint Energy Houston Electric, LLC",NR
6091,10692,ExxonMobil Baytown Turbine,Harris,TX,77522,,ERCOT,32512,"CenterPoint Energy Houston Electric, LLC",NR
6132,2236,Fairbury,Jefferson,NE,68352,Little Blue River,MRO,22,,RE
6138,1972,Fairfax,Renville,MN,55332,Municipality,MRO,22,,RE
6141,940,Fairfield,Wayne,IL,62837,Municipality,SERC,22,,RE
6151,1973,Fairmont,Martin,MN,56031,George Lake,MRO,22,,RE
6152,2978,Fairview,Major,OK,73737,Municipality,SPP,22,,RE
6169,4204,Island Park,Fremont,ID,83429,Island Park,WECC,22,,RE
6169,6359,Felt,Teton,ID,83424,Teton River,WECC,22,,RE
6175,2237,Falls City,Richardson,NE,68355,Municipality,MRO,22,,RE
6192,941,Farmer City,De Witt,IL,61842,Municipality,SERC,22,,RE
6201,10323,Copper Dam Plant,Hood River,OR,97031,Hood River,WECC,22,PacifiCorp,NR
6201,10324,Peters Drive Plant,Hood River,OR,97031,Greenpoint/ Deadpoint/Ditch,WECC,22,PacifiCorp,NR
6204,584,Navajo Dam,San Juan,NM,87401,San Juan River,WECC,22,,RE
