UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVICE AREA,REGULATORY STATUS
50123,56336,Aragonne Wind LLC,Guadalupe,NM,88435,,WECC,22,Public Service Co of NM,NR
50123,56337,Sweetwater Wind 4 LLC,Nolan,TX,79556,,ERCOT,22,TXU Electric Delivery Company,NR
50123,56370,Ecogen Wind,Steuben,NY,14873,,NPCC,22,New York State Elec & Gas Corp,NR
50123,56371,Cedar Creek Wind,Weld,CO,80729,,WECC,22,Public Service Co of Colorado,NR
50123,56372,Sweetwater Wind 5,Nolan,TX,79556,,ERCOT,22,TXU Electric Delivery Company,NR
50123,56446,Buena Vista Energy LLC,Contra Costa,CA,94514,,WECC,22,Pacific Gas & Electric Co,NR
50123,56450,GSG LLC,Lee,IL,61378,,RFC,22,Commonwealth Edison Co,NR
50123,56451,Allegheny Ridge Wind Farm,Cambria,PA,15946,,RFC,22,Pennsylvania Electric Co,NR
50127,56434,Aera South Belridge Cogen Facility,Cassia,CA,83318,N/A,WECC,22,Idaho Power Co,NR
50127,56435,Golden Valley Wind Park LLC,Cassia,ID,83318,N/A,WECC,22,Idaho Power Co,NR
50127,56436,Lava Beds Wind Park LLC,Bingham,ID,83221,N/A,WECC,22,Idaho Power Co,NR
50127,56437,Milner Dam Wind Park LLC,Cassia,ID,83318,N/A,WECC,22,Idaho Power Co,NR
50127,56438,Notch Butte Wind Park,Jerome,ID,,N/A,WECC,22,Idaho Power Co,NR
50127,56439,Oregon Trail Wind Park,Twin Falls,ID,83332,N/A,WECC,22,Idaho Power Co,NR
50127,56440,Pilgrim Stage Wind Park,Twin Falls,ID,83332,N/A,WECC,22,Idaho Power Co,NR
50127,56441,Salmon Falls Wind Park,Twin Falls,ID,83332,N/A,WECC,22,Idaho Power Co,NR
50127,56442,Thousand Springs Wind Park,Twin Falls,ID,83332,N/A,WECC,22,Idaho Power Co,NR
50127,56443,Tuana Gulch Wind Park,Twin Falls,ID,83332,N/A,WECC,22,Idaho Power Co,NR
50127,56591,Horseshoe Bend Wind Park,Cascade,MT,59404,,WECC,22,NorthWestern Energy,NR
50128,10611,Georgia Pacific Palatka Operations,Putnam,FL,32177,St. Johns River,FRCC,322122,Florida Power & Light Company,NR
50129,10612,Georgia Pacific Port Hudson,East Baton Rouge,LA,70791,Wells,SERC,322122,Entergy Gulf States Inc,NR
50130,56309,Trigen St.Louis,St Louis,MO,63102,Mississippi River,SERC,22,Ameren UE,NR
50131,50765,Stillwater Facility,Churchill,NV,89406,Wells,WECC,22,Sierra Pacific Power Co,NR
50133,10233,Leaf River Cellulose LLC,Perry,MS,39462,Leaf River,SERC,322,Dixie Electric Power Assn,NR
50134,56313,Coleman Falls,Bedford,VA,24536,James River,RFC,32213,Appalachian Power Co,NR
50134,56314,Holcomb Rock,Bedford,VA,24503,James River,RFC,32213,Appalachian Power Co,NR
50135,54652,Hutchinson Creek,Whatcom,WA,98244,Middlefork Nooksack River,WECC,22,Puget Sound Energy Inc,NR
50136,54131,Fortistar North Tonawanda,Niagara,NY,14120,Municipality,NPCC,22,Niagara Mohawk Power Corp,NR
50137,3848,Naches Drop,Yakima,WA,98937,Naches River,WECC,22,PacifiCorp,RE
50137,3849,Naches,Yakima,WA,98937,Naches River,WECC,22,PacifiCorp,RE
50140,56452,Medicine Bow Fuel & Power LLC,Carbon,WY,82329,water wells,WECC,22,"Carbon Power & Light, Inc",NR
50145,54148,Hydro Kennebec Project,Kennebec,ME,4901,Kennebec River,NPCC,22,Central Maine Power Co,NR
50146,902,Bottle Rock Power,Lake,CA,95426,By steam condensation,WECC,22,Pacific Gas & Electric Co,NR
50147,56317,Raft River Geothermal Power Plant,Cassia,ID,83342,Wells,WECC,22,Raft River Rural Elec Coop Inc,NR
50152,56318,Fauquier Landfill Gas,Fauquier,VA,20187,,SERC,22,Dominion Virginia Power,NR
50157,55177,South Point Energy Center,Mohave,AZ,86440,Colorado River,WECC,22,"Mohave Electric Cooperative, Inc",NR
50158,56323,Modern Innovative Energy LLC,Niagara,NY,14174,N/A,NPCC,22,Niagara Mohawk Power Corp,NR
50158,56324,Colonie LFGTE Facility,Albany,NY,12047,N/A,NPCC,22,Niagara Mohawk Power Corp,NR
50160,10099,Pedricktown Cogen Plant,Salem,NJ,8067,Oswegatchie,RFC,22,Atlantic City Electric Co,NR
50161,6020,Perry,Lake,OH,44081,Lake Erie,RFC,22,Cleveland Electric Illum Co,NR
50161,6040,Beaver Valley,Beaver,PA,15077,Ohio River,RFC,22,Pennsylvania Power Co,NR
50161,6149,Davis Besse,Ottawa,OH,43449,Lake Erie,RFC,22,The Toledo Edison Co,NR
50163,52108,Port Arthur Refinery,Jefferson,TX,77640,Lower Neches Valley Authority,SERC,32411,Entergy Gulf States Inc,NR
50166,55296,Calumet Energy Team LLC,Cook,IL,60617,,RFC,22,Commonwealth Edison Co,NR
50167,10523,Benton Falls Associates,Kennebec,ME,4901,Sebasticook,NPCC,22,Central Maine Power Co,NR
50168,50498,Capital District Energy Center,Hartford,CT,6106,Metropolitan Water District,NPCC,22,Connecticut Light & Power Co,NR
50172,56326,Mustang Station Unit 4,Yoakum,TX,79323,Wells,SPP,22,,RE
50173,55708,Nacogdoches Power,Nacogdoches,TX,75788,Angelina River,ERCOT,22,TXU Electric Delivery Company,NR
54679,1567,Deep Creek,Garrett,MD,21150,Deep Creek Lake,RFC,22,The Potomac Edison Co,NR
54679,3124,Piney,Clarion,PA,16214,Clarion River,RFC,22,Pennsylvania Electric Co,NR
54680,50062,San Joaquin Cogen,San Joaquin,CA,95330,Well,WECC,22,Pacific Gas & Electric Co,NR
54681,10074,Pulp Mill Power House,Humboldt,CA,95564,Mad River,WECC,322,Pacific Gas & Electric Co,NR
54683,3437,Eagle Pass,Maverick,TX,78852,Maverick County Irrigation Dis,ERCOT,22,AEP Texas Central Company,NR
54684,56290,Maple Ridge Wind Farm,Lewis,NY,13367,,NPCC,22,National Grid,NR
54685,56304,San Juan Mesa,Roosevelt,NM,88116,NA,SPP,22,Southwestern Public Service Co,NR
54685,56432,Wildorado Wind Ranch,Potter,TX,79092,,SPP,22,Southwestern Public Service Co,NR
54685,56621,Sleeping Bear,Harper,OK,73013,,SPP,22,Oklahoma Gas & Electric Co,
54686,56333,Gauley River Power Partners,Nicholas,WV,26651,Gauley River,RFC,22,Appalachian Power Co,NR
54687,55231,Liberty Electric Power Plant,Delaware,PA,19022,Municipality,RFC,22,PECO Energy Co,NR
54690,56358,Western Renewable,Apache,AZ,85925,Municipality,WECC,22,"Navopache Electric Coop, Inc",NR
54692,55242,Santa Rosa Energy Center,Santa Rosa,FL,32571,Well,SERC,314,Gulf Power Co,NR
54693,55412,Osprey Energy Center,Polk,FL,33823,"Ground, Municipality",FRCC,22,Tampa Electric Co,NR
54695,50137,Newgulf Cogen,Wharton,TX,77462,San Bernard River,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
54697,10049,Little Mac Project,Twin Falls,ID,83316,Cedar Draw,WECC,22,Idaho Power Co,NR
54699,56040,Solo Cup Co,Baltimore,MD,21117,Municipality,RFC,22,Baltimore Gas & Electric Co,NR
54700,50109,Paris Generating Station,Lamar,TX,75460,"Pat Mayse , Lamar County",ERCOT,22,TXU Electric Delivery Company,NR
54702,56350,Colorado Bend Energy Center,Wharton,TX,77488,Wells,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
54703,56349,Quail Run Energy Center,Ector,TX,79766,Texland Great Plants Water Sup,ERCOT,22,TXU Electric Delivery Company,NR
54704,55067,MPEA Energy Center,Cook,IL,60616,Municipality,RFC,22,Commonwealth Edison Co,NR
54705,10167,Seadrift Coke LP,Calhoun,TX,77979,Guadalupe Blanco River Ath,ERCOT,324,AEP Texas Central Company,NR
54707,56335,Blue Canyon Windpower II,Comanche,OK,73015,,SPP,22,"Western Farmers Elec Coop, Inc",NR
54708,10378,Primary Energy Southport,Brunswick,NC,28461,Municipality/Wells,SERC,22,Progress Energy Carolinas Inc,NR
54708,10379,Primary Energy Roxboro,Person,NC,27573,Municipality,SERC,22,Progress Energy Carolinas Inc,NR
54709,56338,High Trail Wind Farm LLC,McLean,IL,61701,,RFC,22,Ameren Energy Resources Generating Co.,NR
54710,56346,Bear Valley Power Plant,San Bernardino,CA,92315,Municipality,WECC,22,,RE
54711,50168,Geismar Plant,Ascension,LA,70734,River,SERC,325188,Entergy Gulf States Inc,NR
54713,50751,Southeast Kern River Cogen,Kern,CA,93308,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52076,McKittrick Cogen,Kern,CA,93251,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52078,North Midway Cogen,Kern,CA,93251,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52081,Cymric 31X Cogen,Kern,CA,93251,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52082,Cymric 6Z Cogen,Kern,CA,93251,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52083,Coalinga 6C Cogen,Fresno,CA,93210,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52085,Taft 26C Cogen,Kern,CA,93268,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52086,Coalinga 25D Cogen,Fresno,CA,93210,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52092,Kern River Fee B Cogen,Kern,CA,93308,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52094,Kern River Fee A Cogen,Kern,CA,93308,Wells,WECC,324,Pacific Gas & Electric Co,NR
54713,52095,Kern River Fee C Cogen,Kern,CA,93308,Wells,WECC,324,Pacific Gas & Electric Co,NR
54713,52104,Cymric 36W Cogen,Kern,CA,93251,Wells,WECC,211,Pacific Gas & Electric Co,NR
54713,52107,Kern River Eastridge Cogen,Kern,CA,93306,Wells,WECC,211,Pacific Gas & Electric Co,NR
54716,54516,Dixon Marquette,Lee,IL,61021,Wells,RFC,32731,Commonwealth Edison Co,NR
54717,56357,FPL Energy Burleigh County Wind,Burleigh,ND,58579,N/A,MRO,22,Basin Electric Power Coop,NR
54718,8024,Kewaunee,Kewaunee,WI,54216,Lake Michigan,MRO,22,Wisconsin Public Service Corp,NR
54721,55526,Atascosita,Harris,TX,77396,Municipality,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
54721,55551,Baytown,Chambers,TX,77520,Municipality,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
54721,55552,Bluebonnet,Harris,TX,77078,Municipality,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
54721,55554,Coastal Plains,Galveston,TX,77511,Municipality,ERCOT,22,Texas-New Mexico Power Co,NR
54721,55555,Conroe,Montgomery,TX,77301,Municipality,SERC,22,Entergy Gulf States Inc,NR
54721,55556,Security,Liberty,TX,77327,Municipality,SERC,22,"Sam Houston Electric Coop, Inc",NR
54722,54308,Three Forks Water Power Project,Trinity,CA,95595,Mud Creek,WECC,22,Pacific Gas & Electric Co,NR
54725,55561,Tsar Nicholas LLC,Lincoln,MN,56136,,MRO,22,Northern States Power Co,NR
54725,55562,Sun River LLC,Lincoln,MN,56136,,MRO,22,Northern States Power Co,NR
54725,55563,Julia Hills LLC,Lincoln,MN,56136,,MRO,22,Northern States Power Co,NR
54725,55564,Jessica Mills LLC,Lincoln,MN,56136,,MRO,22,Northern States Power Co,NR
54725,55565,Jack River LLC,Lincoln,MN,56136,,MRO,22,Northern States Power Co,NR
54725,55566,Autumn Hills LLC,Lincoln,MN,56136,,MRO,22,Northern States Power Co,NR
54725,55567,Winters Spawn LLC,Lincoln,MN,55149,,MRO,22,Northern States Power Co,NR
54725,55568,Twin Lake Hills LLC,Lincoln,MN,55149,,MRO,22,Otter Tail Power Co,NR
54725,55569,Spartan Hills LLC,Lincoln,MN,55149,,MRO,22,Northern States Power Co,NR
54725,55570,Soliloquoy Ridge LLC,Lincoln,MN,55149,,MRO,22,Northern States Power Co,NR
54725,55571,Ruthton Ridge LLC,Lincoln,MN,55149,,MRO,22,Northern States Power Co,NR
54725,55572,Hope Creek LLC,Lincoln,MN,55149,,MRO,22,Northern States Power Co,NR
54725,55573,Hadley Ridge LLC,Lincoln,MN,55149,,MRO,22,Otter Tail Power Co,NR
54725,55574,Florence Hills LLC,Lincoln,MN,55149,,MRO,22,Northern States Power Co,NR
54725,55576,Agassiz Beach LLC,Clay,MN,56536,,MRO,22,Northern States Power Co,NR
54726,10522,Indeck Pepperell Power Facility,Middlesex,MA,1463,Nashua River,NPCC,22,Massachusetts Electric Co,NR
54727,55086,Gregory Power Facility,San Patricio,TX,78359,San Patricio Municipality,ERCOT,22,AEP Texas Central Company,NR
54738,54098,International Paper Kaukauna Mill,Outagamie,WI,54130,River,MRO,322122,Kaukauna City of,NR
54741,56381,Dan's Mountain,Allegany,MD,21532,,RFC,22,Allegheny Power,NR
54742,56382,Liberty Gap,Pendleton,WV,26815,,RFC,22,Allegheny Power,NR
54744,56383,Top of Iowa Windfarm II,Worth,IA,50448,,MRO,22,Interstate Power and Light Co,NR
54745,10425,TempleInland,Orange,TX,77632,Sabine River,SERC,32213,Entergy Gulf States Inc,NR
54747,56384,Mount Storm,Grant,WV,26739,,RFC,22,Allegheny Power,NR
54748,56385,Savage Mountain,Allegany,MD,21532,,RFC,22,Allegheny Power,NR
54755,55216,Aera South Belridge Cogen Facility,Grundy,IL,60450,Wells,RFC,22,Commonwealth Edison Co IN Inc,NR
54757,7999,Grays Harbor Energy Facility,Grays Harbor,WA,98541,Ranney Wells,WECC,22,Bonneville Power Admin,RE
54758,56394,Forest Creek Wind Farm LLC,Glasscock,TX,79720,NA,ERCOT,22,TXU Energy Retail Co LP,NR
54758,56479,Sand Bluff,Glasscock,TX,79720,N/A,ERCOT,22,TXU Energy Retail Co LP,NR
54758,56592,Airtricity Champion Wind Farm LLC,Nolan,TX,79545,NA,ERCOT,22,TXU Energy Trading Co,NR
54758,56593,Airtricity Roscoe Wind Farm LLC,Nolan,TX,79545,NA,ERCOT,22,TXU Energy Trading Co,NR
54758,56594,Airtricity MUnnsville Wind Farm LLC,Madison,NY,13310,NA,NPCC,22,NYSEG Solutions Inc,NR
54759,56395,Mesquite Wind Power LLC,Shackelford,TX,79601,,ERCOT,22,TXU Generation Co LLC,NR
54759,56483,Post Oak Wind LLC,Shackelford,TX,79601,,ERCOT,22,TXU Generation Co LLC,NR
54760,10720,Kyocera America Project,San Diego,CA,92123,Municipality,WECC,22,San Diego Gas & Electric Co,NR
54767,56402,West Texas Renewables LLC,Howard,TX,79720,N/A,ERCOT,22,TXU Electric Delivery Company,NR
54769,10154,Chocolate Bayou Works,Brazoria,TX,77512,Chocolate Bayou Water Co,ERCOT,32512,"CenterPoint Energy Houston Electric, LLC",NR
54773,52026,Dartmouth Power Associates,Bristol,MA,2747,Municipality,NPCC,22,Commonwealth Electric Co,NR
54775,1359,Mother Ann Lee,Mercer,KY,40330,Kentucky River,RFC,22,Big Rivers Electric Corp,NR
54777,50127,Signal Hill Wichita Falls Power LP,Wichita,TX,76310,Municipality,ERCOT,22,TXU Electric Delivery Company,NR
54779,3461,Deepwater,Harris,TX,77506,Houston Ship Channel,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
54780,55700,Mint Farm Generation LLC,Cowlitz,WA,98632,"Surface,Industrial Source,Well",WECC,22,PUD No 1 of Cowlitz County,NR
54783,7370,Bonnett,Beaver,UT,84713,Springs,WECC,22,,RE
54784,10491,Mead Rumford Cogen,Oxford,ME,4276,Androscoggin River,NPCC,322122,Central Maine Power Co,NR
54784,10495,Rumford Cogeneration,Oxford,ME,4276,Androscoggin River,NPCC,22,Central Maine Power Co,NR
54786,55208,Lake Benton I,Lincoln,MN,56149,,MRO,22,Northern States Power Co,NR
54786,55287,Storm Lake II,Buena Vista,IA,51002,,MRO,22,Interstate Power and Light Co,NR
54787,52193,Delaware City Plant,New Castle,DE,19706,Delaware River,RFC,32411,Delmarva Power & Light Company,NR
54788,10052,Fairhaven Power,Humboldt,CA,95564,Municipality,WECC,22,Pacific Gas & Electric Co,NR
54789,56408,AgriWind,Bureau,IL,61368,,SERC,22,Commonwealth Edison Co,NR
54790,56409,Stahl Wind Energy,Pipestone,MN,56164,,MRO,22,Northern States Power Co,NR
54791,56410,Carstensen Wind,Pipestone,MN,56164,,MRO,22,Northern States Power Co,NR
54792,56411,Northern Lights Wind,Pipestone,MN,56164,,MRO,22,Northern States Power Co,NR
