GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US13117,13117,"Forsyth County, Georgia",139501,*****
0500000US13121,13121,"Fulton County, Georgia",884079,*****
0500000US13127,13127,"Glynn County, Georgia",70373,*****
0500000US13135,13135,"Gwinnett County, Georgia",719398,*****
0500000US13139,13139,"Hall County, Georgia",163204,*****
0500000US13151,13151,"Henry County, Georgia",166871,*****
0500000US13153,13153,"Houston County, Georgia",123176,*****
0500000US13185,13185,"Lowndes County, Georgia",89724,*****
0500000US13215,13215,"Muscogee County, Georgia",175930,*****
0500000US13217,13217,"Newton County, Georgia",85474,*****
0500000US13223,13223,"Paulding County, Georgia",111654,*****
0500000US13245,13245,"Richmond County, Georgia",185150,*****
0500000US13247,13247,"Rockdale County, Georgia",77375,*****
0500000US13297,13297,"Walton County, Georgia",74866,*****
0500000US13313,13313,"Whitfield County, Georgia",89734,*****
0500000US15001,15001,"Hawaii County, Hawaii",164437,*****
0500000US15003,15003,"Honolulu County, Hawaii",873177,*****
0500000US15009,15009,"Maui County, Hawaii",138433,70
0500000US16001,16001,"Ada County, Idaho",336193,*****
0500000US16005,16005,"Bannock County, Idaho",75817,*****
0500000US16019,16019,"Bonneville County, Idaho",90711,*****
0500000US16027,16027,"Canyon County, Idaho",161761,*****
0500000US16055,16055,"Kootenai County, Idaho",126079,*****
0500000US16083,16083,"Twin Falls County, Idaho",71334,3242
0500000US17001,17001,"Adams County, Illinois",64273,*****
0500000US17019,17019,"Champaign County, Illinois",168902,*****
0500000US17031,17031,"Cook County, Illinois",5206357,*****
0500000US17037,17037,"DeKalb County, Illinois",89223,*****
0500000US17043,17043,"DuPage County, Illinois",913781,*****
0500000US17089,17089,"Kane County, Illinois",475683,*****
0500000US17091,17091,"Kankakee County, Illinois",103593,*****
0500000US17093,17093,"Kendall County, Illinois",79322,*****
0500000US17097,17097,"Lake County, Illinois",684726,*****
0500000US17099,17099,"LaSalle County, Illinois",109658,*****
0500000US17111,17111,"McHenry County, Illinois",302471,*****
0500000US17113,17113,"McLean County, Illinois",146894,*****
0500000US17115,17115,"Macon County, Illinois",106433,*****
0500000US17119,17119,"Madison County, Illinois",258567,*****
0500000US17143,17143,"Peoria County, Illinois",175166,*****
0500000US17161,17161,"Rock Island County, Illinois",143140,*****
0500000US17163,17163,"St. Clair County, Illinois",255072,*****
0500000US17167,17167,"Sangamon County, Illinois",189438,*****
0500000US17179,17179,"Tazewell County, Illinois",126797,*****
0500000US17183,17183,"Vermilion County, Illinois",79235,*****
0500000US17197,17197,"Will County, Illinois",634183,*****
0500000US17201,17201,"Winnebago County, Illinois",283565,*****
0500000US18003,18003,"Allen County, Indiana",338279,*****
0500000US18005,18005,"Bartholomew County, Indiana",72650,*****
0500000US18019,18019,"Clark County, Indiana",100014,*****
0500000US18035,18035,"Delaware County, Indiana",108356,*****
0500000US18039,18039,"Elkhart County, Indiana",192562,*****
0500000US18043,18043,"Floyd County, Indiana",70932,*****
0500000US18053,18053,"Grant County, Indiana",65632,*****
0500000US18057,18057,"Hamilton County, Indiana",239043,*****
0500000US18063,18063,"Hendricks County, Indiana",123931,*****
0500000US18067,18067,"Howard County, Indiana",83865,*****
0500000US18081,18081,"Johnson County, Indiana",124745,*****
0500000US18085,18085,"Kosciusko County, Indiana",74665,*****
0500000US18089,18089,"Lake County, Indiana",487663,*****
0500000US18091,18091,"LaPorte County, Indiana",104164,*****
0500000US18095,18095,"Madison County, Indiana",125161,*****
0500000US18097,18097,"Marion County, Indiana",844187,*****
0500000US18105,18105,"Monroe County, Indiana",107671,*****
0500000US18109,18109,"Morgan County, Indiana",69141,*****
0500000US18127,18127,"Porter County, Indiana",154188,*****
0500000US18141,18141,"St. Joseph County, Indiana",252673,*****
0500000US18157,18157,"Tippecanoe County, Indiana",139317,*****
0500000US18163,18163,"Vanderburgh County, Indiana",165769,*****
0500000US18167,18167,"Vigo County, Indiana",95094,*****
0500000US18177,18177,"Wayne County, Indiana",66972,*****
0500000US19013,19013,"Black Hawk County, Iowa",120313,*****
0500000US19061,19061,"Dubuque County, Iowa",86626,*****
0500000US19103,19103,"Johnson County, Iowa",108919,*****
0500000US19113,19113,"Linn County, Iowa",193749,*****
0500000US19153,19153,"Polk County, Iowa",391914,*****
0500000US19155,19155,"Pottawattamie County, Iowa",87999,*****
0500000US19163,19163,"Scott County, Iowa",157749,*****
0500000US19169,19169,"Story County, Iowa",70480,*****
0500000US19193,19193,"Woodbury County, Iowa",99729,*****
0500000US20045,20045,"Douglas County, Kansas",94200,*****
0500000US20091,20091,"Johnson County, Kansas",501584,*****
0500000US20103,20103,"Leavenworth County, Kansas",64791,2344
0500000US20173,20173,"Sedgwick County, Kansas",459902,*****
0500000US20177,20177,"Shawnee County, Kansas",167513,*****
0500000US20209,20209,"Wyandotte County, Kansas",154158,*****
0500000US21015,21015,"Boone County, Kentucky",105684,*****
0500000US21029,21029,"Bullitt County, Kentucky",68243,*****
0500000US21037,21037,"Campbell County, Kentucky",85210,*****
0500000US21047,21047,"Christian County, Kentucky",64062,*****
0500000US21059,21059,"Daviess County, Kentucky",90465,*****
0500000US21067,21067,"Fayette County, Kentucky",255389,*****
0500000US21093,21093,"Hardin County, Kentucky",93024,*****
0500000US21111,21111,"Jefferson County, Kentucky",687032,*****
0500000US21117,21117,"Kenton County, Kentucky",151799,*****
0500000US21151,21151,"Madison County, Kentucky",72450,*****
0500000US21195,21195,"Pike County, Kentucky",65976,*****
0500000US21227,21227,"Warren County, Kentucky",93401,*****
0500000US22005,22005,"Ascension Parish, Louisiana",89855,*****
0500000US22015,22015,"Bossier Parish, Louisiana",103391,*****
0500000US22017,22017,"Caddo Parish, Louisiana",244819,*****
0500000US22019,22019,"Calcasieu Parish, Louisiana",180709,*****
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",396735,*****
0500000US22045,22045,"Iberia Parish, Louisiana",72773,*****
0500000US22051,22051,"Jefferson Parish, Louisiana",448578,*****
0500000US22055,22055,"Lafayette Parish, Louisiana",192448,*****
0500000US22057,22057,"Lafourche Parish, Louisiana",90543,*****
0500000US22063,22063,"Livingston Parish, Louisiana",108622,*****
0500000US22071,22071,"Orleans Parish, Louisiana",437186,*****
0500000US22073,22073,"Ouachita Parish, Louisiana",143857,*****
0500000US22079,22079,"Rapides Parish, Louisiana",123090,*****
0500000US22087,22087,"St. Bernard Parish, Louisiana",64576,*****
0500000US22097,22097,"St. Landry Parish, Louisiana",88409,*****
0500000US22103,22103,"St. Tammany Parish, Louisiana",217999,*****
0500000US22105,22105,"Tangipahoa Parish, Louisiana",103261,*****
0500000US22109,22109,"Terrebonne Parish, Louisiana",106078,*****
0500000US23001,23001,"Androscoggin County, Maine",104298,*****
0500000US23003,23003,"Aroostook County, Maine",71046,*****
0500000US23005,23005,"Cumberland County, Maine",264737,*****
0500000US23011,23011,"Kennebec County, Maine",117620,*****
0500000US23019,23019,"Penobscot County, Maine",140625,*****
0500000US23031,23031,"York County, Maine",198899,*****
0500000US24001,24001,"Allegany County, Maryland",67114,*****
0500000US24003,24003,"Anne Arundel County, Maryland",494676,*****
0500000US24005,24005,"Baltimore County, Maryland",767597,*****
0500000US24009,24009,"Calvert County, Maryland",87303,*****
0500000US24013,24013,"Carroll County, Maryland",164663,*****
0500000US24015,24015,"Cecil County, Maryland",96309,*****
0500000US24017,24017,"Charles County, Maryland",137341,*****
0500000US24021,24021,"Frederick County, Maryland",215877,*****
0500000US24025,24025,"Harford County, Maryland",237644,*****
0500000US24027,24027,"Howard County, Maryland",265755,*****
0500000US24031,24031,"Montgomery County, Maryland",918046,*****
0500000US24033,24033,"Prince George's County, Maryland",828834,*****
0500000US24037,24037,"St. Mary's County, Maryland",93301,*****
0500000US24043,24043,"Washington County, Maryland",132574,*****
0500000US24045,24045,"Wicomico County, Maryland",87334,*****
0500000US24510,24510,"Baltimore city, Maryland",608481,*****
0500000US25001,25001,"Barnstable County, Massachusetts",220838,*****
0500000US25003,25003,"Berkshire County, Massachusetts",125654,*****
0500000US25005,25005,"Bristol County, Massachusetts",533310,*****
0500000US25009,25009,"Essex County, Massachusetts",721625,*****
0500000US25011,25011,"Franklin County, Massachusetts",70928,*****
0500000US25013,25013,"Hampden County, Massachusetts",447309,*****
0500000US25015,25015,"Hampshire County, Massachusetts",135676,*****
0500000US25017,25017,"Middlesex County, Massachusetts",1405511,*****
0500000US25021,25021,"Norfolk County, Massachusetts",636632,*****
0500000US25023,25023,"Plymouth County, Massachusetts",481100,*****
0500000US25025,25025,"Suffolk County, Massachusetts",620053,*****
0500000US25027,25027,"Worcester County, Massachusetts",759409,*****
0500000US26005,26005,"Allegan County, Michigan",111257,*****
0500000US26017,26017,"Bay County, Michigan",107256,*****
0500000US26021,26021,"Berrien County, Michigan",158224,*****
0500000US26025,26025,"Calhoun County, Michigan",134628,*****
0500000US26037,26037,"Clinton County, Michigan",68524,*****
0500000US26045,26045,"Eaton County, Michigan",105632,*****
0500000US26049,26049,"Genesee County, Michigan",438589,*****
0500000US26055,26055,"Grand Traverse County, Michigan",81174,*****
0500000US26065,26065,"Ingham County, Michigan",261476,*****
0500000US26073,26073,"Isabella County, Michigan",58848,*****
0500000US26075,26075,"Jackson County, Michigan",152954,*****
0500000US26077,26077,"Kalamazoo County, Michigan",230457,*****
0500000US26081,26081,"Kent County, Michigan",584007,*****
0500000US26087,26087,"Lapeer County, Michigan",91256,*****
0500000US26091,26091,"Lenawee County, Michigan",97102,*****
0500000US26093,26093,"Livingston County, Michigan",179897,*****
0500000US26099,26099,"Macomb County, Michigan",820599,*****
0500000US26111,26111,"Midland County, Michigan",82695,*****
0500000US26115,26115,"Monroe County, Michigan",152392,*****
0500000US26121,26121,"Muskegon County, Michigan",169500,*****
0500000US26125,26125,"Oakland County, Michigan",1200531,*****
0500000US26139,26139,"Ottawa County, Michigan",245075,*****
0500000US26145,26145,"Saginaw County, Michigan",202037,*****
0500000US26147,26147,"St. Clair County, Michigan",169749,*****
0500000US26155,26155,"Shiawassee County, Michigan",72224,*****
0500000US26159,26159,"Van Buren County, Michigan",76896,*****
0500000US26161,26161,"Washtenaw County, Michigan",319791,*****
0500000US26163,26163,"Wayne County, Michigan",1966909,*****
0500000US27003,27003,"Anoka County, Minnesota",320803,*****
0500000US27019,27019,"Carver County, Minnesota",83783,*****
0500000US27037,27037,"Dakota County, Minnesota",381267,*****
0500000US27053,27053,"Hennepin County, Minnesota",1089910,*****
0500000US27109,27109,"Olmsted County, Minnesota",132116,*****
0500000US27123,27123,"Ramsey County, Minnesota",476715,*****
0500000US27137,27137,"St. Louis County, Minnesota",186225,*****
0500000US27139,27139,"Scott County, Minnesota",118822,*****
0500000US27141,27141,"Sherburne County, Minnesota",80003,*****
0500000US27145,27145,"Stearns County, Minnesota",135253,*****
0500000US27163,27163,"Washington County, Minnesota",217021,*****
0500000US27171,27171,"Wright County, Minnesota",109836,*****
0500000US28033,28033,"DeSoto County, Mississippi",136353,*****
0500000US28035,28035,"Forrest County, Mississippi",69608,*****
0500000US28047,28047,"Harrison County, Mississippi",186530,*****
0500000US28049,28049,"Hinds County, Mississippi",239901,*****
0500000US28059,28059,"Jackson County, Mississippi",134249,*****
0500000US28067,28067,"Jones County, Mississippi",66425,3198
0500000US28075,28075,"Lauderdale County, Mississippi",73647,*****
0500000US28081,28081,"Lee County, Mississippi",77438,*****
0500000US28089,28089,"Madison County, Mississippi",82071,*****
0500000US28121,28121,"Rankin County, Mississippi",126569,*****
0500000US29019,29019,"Boone County, Missouri",134391,*****
0500000US29021,29021,"Buchanan County, Missouri",80196,*****
0500000US29031,29031,"Cape Girardeau County, Missouri",67757,*****
0500000US29037,29037,"Cass County, Missouri",93266,*****
0500000US29043,29043,"Christian County, Missouri",66663,*****
0500000US29047,29047,"Clay County, Missouri",199158,*****
0500000US29051,29051,"Cole County, Missouri",67706,*****
0500000US29071,29071,"Franklin County, Missouri",98086,*****
0500000US29077,29077,"Greene County, Missouri",238898,*****
0500000US29095,29095,"Jackson County, Missouri",651181,*****
0500000US29097,29097,"Jasper County, Missouri",107992,*****
0500000US29099,29099,"Jefferson County, Missouri",211639,*****
0500000US29165,29165,"Platte County, Missouri",81241,*****
0500000US29183,29183,"St. Charles County, Missouri",326152,*****
0500000US29189,29189,"St. Louis County, Missouri",985393,*****
0500000US29510,29510,"St. Louis city, Missouri",333730,*****
0500000US30013,30013,"Cascade County, Montana",77462,*****
0500000US30029,30029,"Flathead County, Montana",82027,*****
0500000US30031,30031,"Gallatin County, Montana",77543,2409
0500000US30063,30063,"Missoula County, Montana",96467,*****
0500000US30111,30111,"Yellowstone County, Montana",133762,*****
0500000US31055,31055,"Douglas County, Nebraska",474913,*****
0500000US31109,31109,"Lancaster County, Nebraska",252319,*****
0500000US31153,31153,"Sarpy County, Nebraska",137891,*****
0500000US32003,32003,"Clark County, Nevada",1691213,*****
0500000US32031,32031,"Washoe County, Nevada",384462,*****
0500000US33005,33005,"Cheshire County, New Hampshire",73019,*****
0500000US33009,33009,"Grafton County, New Hampshire",77887,*****
0500000US33011,33011,"Hillsborough County, New Hampshire",393207,*****
0500000US33013,33013,"Merrimack County, New Hampshire",140311,*****
0500000US33015,33015,"Rockingham County, New Hampshire",292410,*****
0500000US33017,33017,"Strafford County, New Hampshire",113300,*****
0500000US34001,34001,"Atlantic County, New Jersey",264403,*****
0500000US34003,34003,"Bergen County, New Jersey",891237,*****
0500000US34005,34005,"Burlington County, New Jersey",436706,*****
0500000US34007,34007,"Camden County, New Jersey",507843,*****
