UTILITY_ID,PLANT_CODE,PLANT_NAME,STREET_ADDRESS,CITY,COUNTY,STATE,ZIP5,NAME_OF_WATER_SOURCE,NERC,PRIMARY_PURPOSE,OWNERTRANSDIST,OWNERTRANSID,OWNERSTATE,REGULATORY_STATUS,SECTOR_NAME,SECTOR_NUMBER,FERC_COGEN,FERC_COGEN_DOCKET,FERC_SMALL_POWER,FERC_SMALL_POWER_DOCKET,FERC_EXEMPT_WHOLESALE,FERC_EXEMPT_WHOLESALE_DOCKET,ISO_RTO,ISO_RTO_CODE
30038,54513,Rock-Tenn,1601 East Mountain Street,Aurora,Kane,IL,60505,N/A,RFC,32213,Commonwealth Edison Co,4110,IL,NR,Industrial,6,N,,N,,N,,Y,PJM
30052,54637,JCO Oxides Olefins Plant,6001 Hwy 366,Port Neeches,JEFFERSON,TX,77651,Closed-Loop Cooling Tower,SERC,324,Entergy Gulf States Inc,7806,TX,NR,Industrial,7,Y,90-174-000,N,,N,,N,
30067,54286,Rolls Royce,2001 S Tibbs Ave,Indianapolis,Marion,IN,46241,N/A,RFC,336,Indianapolis Power & Light Co,55304,IN,NR,Industrial,7,N,,N,,N,,Y,MISO
30076,50375,East Portal Generator,w/o Devonshire and Larwin,Chatsworth,LOS ANGELES,CA,91311,Water Pipeline,WECC,22,Southern California Edison Co,17609,CA,NR,IPP,2,N,,Y,68-68-000,N,,Y,CAISO
30076,56125,Springville Hydroelectric,600 Via Zamora,Camarillo,VENTURA,CA,93010,Water Pipeline,WECC,22,Southern California Edison Co,17609,CA,NR,IPP,2,N,,Y,11-094-000,N,,Y,CAISO
30141,50925,San Jose Convention Center,408 Almaden Blvd.,San Jose,Santa Clara,CA,95110,,WECC,713,,,,NR,Commercial,5,N,,N,,N,,,
30150,6637,Yakutat,#1 Forest Hwy.,Yakutat,YAKUTAT,AK,99689,Municipality,ASCC,22,Yakutat Power Inc,30150,AK,RE,Electric Utility,1,N,,N,,N,,N,
30151,87,Escalante,County Road 19,Prewitt,McKinley,NM,87045,Wells,WECC,22,"Tri-State G & T Assn, Inc",30151,CO,RE,Electric Utility,1,N,,N,,N,,N,
30151,527,Nucla,30739 DD 30 Road,Nucla,Montrose,CO,81424,San Miguel River,WECC,22,"Tri-State G & T Assn, Inc",30151,CO,RE,Electric Utility,1,N,,N,,N,,N,
30151,6021,Craig,2101 S. Ranney,Craig,Moffat,CO,81626,Yampa River,WECC,22,"Tri-State G & T Assn, Inc",30151,CO,RE,Electric Utility,1,N,,N,,N,,N,
30151,6619,Burlington,21889 County Road 50,Burlington,Kit Carson,CO,80807,Wells,WECC,22,"Tri-State G & T Assn, Inc",30151,CO,RE,Electric Utility,1,N,,N,,N,,N,
30151,7975,Pyramid,53 Ramos Farms Road,Lordsburg,Hidalgo,NM,88045,Wells,WECC,22,Public Service Co of NM,15473,NM,RE,Electric Utility,1,N,,N,,N,,N,
