,County,Latitude,Longitude,Plant Code,Zipcode
352,Hays,29.780600,-97.989400,55144.0,78666
353,Kern,35.483736,-119.029856,10650.0,93308
354,Iowa City,,,55742.0,53526
355,Douglas,38.789700,-95.205000,1262.0,66006
356,Douglas,38.764905,-95.192006,8020.0,66006
357,Kossuth,43.292628,-94.217075,1125.0,50517
358,Penobscot,,,783.0,0
359,Penobscot,,,784.0,0
360,Hancock,44.3817,-68.2869,1466.0,4609
361,Washington,44.9136,-67.0033,1468.0,4631
362,Penobscot,45.6078,-68.5444,1474.0,4460
363,Ascension,30.200000,-91.000000,10319.0,70734
364,Candler,,,10320.0,28728
365,Brazoria,29.002000,-95.394000,55311.0,77541
366,Jefferson,,,55881.0,77642
367,Penobscot,45.2497,-68.6483,10255.0,4493
368,Duval,30.314467,-81.662705,10008.0,32207
369,Queens,40.610654,-73.762218,55699.0,11691
370,North Slope,71.292000,-156.778600,7173.0,99723
371,Barron,45.401930,-91.840382,4102.0,54812
372,Colbert,,,55819.0,35631
373,Orleans,44.887379,-72.055357,3753.0,5872
374,Mercer,47.371389,-101.834444,2817.0,58571
375,Clay,42.828611,-96.951389,6092.0,57069
376,Platte,,,6204.0,82070
377,Mercer,47.281900,-101.319400,6469.0,58523
378,Brule,43.810800,-99.330300,7974.0,57325
379,Campbell,43.829400,-105.532200,8026.0,82732
380,Sheridan,44.690000,-106.109200,8028.0,82831
381,Campbell,43.721900,-105.768900,8030.0,82718
382,Silver Bow,45.929300,-112.519400,55866.0,59701
383,Henry,,,50911.0,24055
384,Henry,,,50912.0,24055
385,Anoka,,,55433.0,70546
386,Lake of The Woods,,,1963.0,56623
387,Jefferson,29.954321,-93.883592,55122.0,77643
388,Emmet,,,55944.0,49701
389,Otsego,42.694400,-74.924200,54863.0,13326
390,Bay,43.583100,-83.879400,7398.0,48708
391,Bay,,,7399.0,48700
392,Alameda,37.870331,-122.263370,50849.0,94720
393,North Slope,,,54155.0,99734
394,Kern,35.419181,-118.926643,10649.0,93306
395,Denver,39.669200,-105.001800,55200.0,80223
396,Boulder,,,55207.0,80301
397,Penobscot,,,10009.0,4458
398,Furnas,40.138100,-99.827200,2217.0,68926
399,Lewis,,,10490.0,13305
400,Lewis,,,54691.0,13305
401,Schuylkill,,,54456.0,17901
402,Amherst,,,3821.0,24526
403,Philadelphia,,,10021.0,19102
404,Republic,39.808100,-97.650500,1263.0,66935
405,Jackson,42.250000,-90.416700,1126.0,52031
406,Mitchell,39.457800,-98.112200,1264.0,67420
407,Beaver,40.733545,-80.314795,10285.0,15066
408,Dundy,,,2218.0,69021
409,Kern,35.093046,-119.443617,50170.0,93268
410,Kern,,,50622.0,93268
411,Los Angeles,34.384070,-118.494882,52096.0,91321
412,Swift,45.314444,-95.602777,1964.0,56215
413,Benton,,,7945.0,99337
414,Worcester,38.336100,-75.191900,6565.0,21811
415,Hampden,42.0476,-72.6478,55041.0,1001
416,Queens,,,7969.0,11105
417,Pointe Coupee,,,55958.0,70760
418,Harrison,40.261900,-94.040300,2114.0,64424
419,Harrison,,,7944.0,64424
420,Bethel,60.789700,-161.787778,6566.0,99559
421,San Bernardino,,,50538.0,91761
422,Campbell,44.285000,-105.378600,55477.0,82718
423,Porter,41.635000,-87.138700,10245.0,46304
424,Erie,,,10484.0,14218
425,Baltimore,39.213000,-76.472900,10485.0,21219
426,Trinity,40.646733,-123.498008,10282.0,96046
427,Kane,41.871914,-88.287721,50563.0,60510
428,Litchfield,41.5503,-73.4181,50564.0,6776
429,Monroe,42.990300,-77.801100,50565.0,14546
430,St Clair,38.660300,-90.131700,50566.0,62202
431,Monroe,43.651400,-76.903600,50568.0,14450
432,Denton,33.019646,-96.961986,50569.0,75067
433,Anderson,36.117200,-84.031700,50570.0,37754
434,Alameda,37.749308,-121.649866,50571.0,94550
435,Broward,26.287966,-80.166526,50572.0,33073
436,Cook,,,50573.0,60633
437,Cook,42.106250,-87.813738,50575.0,60062
438,Milwaukee,42.850556,-88.069722,50576.0,53132
439,Washington,43.192200,-88.159700,50577.0,53051
440,Montgomery,40.272440,-75.670351,50578.0,19464
441,Tazewell,40.681700,-89.516700,50721.0,61611
442,Gwinnett,33.930000,-84.237800,54392.0,30071
443,Shiawassee,,,54539.0,48429
444,Kankakee,41.033300,-87.867800,54659.0,60922
445,Herkimer,,,54660.0,13340
446,Kenosha,42.582500,-88.043600,54661.0,53104
447,Kane,,,54662.0,60120
448,Strafford,,,54663.0,3867
449,Polk,41.554200,-93.236100,54700.0,50169
450,Hendricks,39.744983,-86.494658,54925.0,46122
451,St Joseph,41.493600,-86.165800,54926.0,46595
452,La Porte,,,54956.0,46350
453,Erie,,,55013.0,16509
454,Du Page,41.733790,-88.084908,55014.0,60540
455,La Porte,,,55073.0,46342
456,Erie,42.078600,-80.070800,55074.0,16509
457,York,39.957800,-76.740800,55142.0,17402
458,Manitowoc,44.111900,-87.949400,55925.0,54247
459,Lassen,41.132500,-121.137222,10288.0,96009
460,Wayne,38.344100,-82.593800,55284.0,25530
461,King George,38.266700,-77.314700,54304.0,22485
462,Jackson,42.436111,-122.849958,10869.0,97503
463,Jefferson,,,10464.0,13603
464,Clark,,,10140.0,83409
465,Los Angeles,33.906953,-118.013105,54296.0,90639
466,Clark,36.231900,-115.122200,10761.0,89030
467,Clark,36.232000,-115.123750,55952.0,89030
468,Jackson,,,4104.0,54615
469,King,,,54860.0,98065
470,Macon,,,55021.0,37150
471,Gooding,42.699840,-114.822603,54514.0,83355
472,Washington,41.175556,-71.5711,6567.0,2807
473,Merrimack,,,52041.0,3229
474,Davis,40.703100,-92.425300,1127.0,52537
475,Steele,43.922500,-93.124700,1966.0,55917
476,Adams,,,55645.0,80014
477,Blount,,,55492.0,35079
478,Faribault,43.637500,-94.101667,1967.0,56013
479,Wells,,,1023.0,46714
480,Clarke,31.489400,-87.898900,55044.0,36545
481,Beauregard,30.860600,-93.375600,10488.0,70634
482,Ada,43.528000,-116.058300,10014.0,83716
483,St John The Baptist,,,55843.0,70068
484,Greenville,34.871811,-82.366035,10280.0,29614
485,Franklin,45.140614,-70.425577,50650.0,4982
486,Ontonagon,46.764400,-89.566900,10148.0,49971
487,Boundary,48.733900,-116.175200,6506.0,83845
488,Androscoggin,44.431667,-70.1619,10354.0,4254
489,Orange,44.1706,-72.0994,50539.0,5081
490,Franklin,44.892700,-74.074600,50277.0,12920
491,Aroostook,46.6334,-68.4361,10356.0,4732
492,Somerset,,,10835.0,4912
493,Koochiching,48.606700,-93.406600,10486.0,56649
494,Koochiching,48.608054,-93.404313,10487.0,56649
495,Boulder,40.011100,-105.334700,54679.0,80306
496,Boulder,40.011100,-105.334700,54680.0,80306
497,Boulder,39.991311,-105.500030,55931.0,80306
498,Boulder,,,55932.0,80306
499,Davis,40.886867,-111.885332,3665.0,84010
500,Summit,,,4263.0,84061
501,Emery,,,4264.0,0
502,Weber,41.254331,-111.848525,7132.0,84401
503,Middlesex,,,10556.0,1844
504,Ascension,,,10596.0,70734
505,Douglas,38.974022,-95.235078,10279.0,66044
506,Talladega,33.328107,-86.356825,54216.0,35044
507,Wood,,,7575.0,0
508,Cameron,,,54670.0,70643
509,Calhoun,28.570700,-96.833300,50404.0,77979
510,Cochise,,,55780.0,85603
511,Orange,,,10648.0,92621
512,Norfolk,42.235,-70.9672,1660.0,2184
513,Fort Bend,29.473100,-95.624400,55357.0,77481
514,Parker,32.778780,-97.694542,3627.0,76087
515,Palo Pinto,32.658100,-98.310300,3628.0,76484
516,Palo Pinto,32.872476,-98.425984,3557.0,76449
517,Somerset,45.6603,-69.812168,10555.0,4478
518,Washington,,,54866.0,2808
519,Clinton,38.607456,-89.524514,934.0,62230
520,Box Elder,41.501619,-111.993450,3666.0,84302
521,Grafton,,,10290.0,3222
522,Fairfield,41.1692,-73.1844,55042.0,6604
523,Suffolk,,,55445.0,11980
524,McLennan,,,10317.0,76706
525,Middlesex,40.475724,-74.446199,54829.0,8903
526,Cherokee,,,55166.0,29342
527,Custer,41.403100,-99.639200,2221.0,68822
528,Poweshiek,41.727800,-92.447900,1128.0,52211
529,Poweshiek,41.739400,-92.439400,7922.0,52211
530,Plymouth,,,55425.0,2301
531,Bibb,,,54243.0,31298
532,Kings,40.699357,-73.976392,54914.0,11205
533,Providence,,,51029.0,2912
534,Haywood,35.543800,-89.198000,55081.0,38012
535,Hancock,,,55180.0,4416
536,Terry,,,3558.0,79316
537,Cameron,25.913100,-97.521400,3559.0,78520
538,Morgan,,,10683.0,80723
539,Williams,41.471822,-84.543148,2903.0,43506
540,Defiance,41.237206,-84.399756,7657.0,43512
541,Brazos,30.647410,-96.372316,3561.0,77801
542,Brazos,30.721700,-96.460800,6243.0,77807
543,Union,40.955015,-76.878843,54333.0,17837
544,Los Angeles,34.178056,-118.315556,375.0,91502
545,Los Angeles,34.176400,-118.314700,6013.0,91502
546,Kankakee,41.154610,-87.854780,52034.0,60915
547,Vermillion,,,51000.0,61832
548,Mohave,35.197044,-114.570669,152.0,86430
549,Coconino,36.936614,-111.483872,153.0,86040
550,Clark,36.015510,-114.738006,154.0,89006
551,Sacramento,38.706750,-121.158443,441.0,95630
552,Shasta,40.646934,-122.626973,442.0,96003
553,Shasta,40.611858,-122.446441,443.0,96003
554,Sacramento,38.637350,-121.220198,444.0,95630
555,Shasta,40.717455,-122.422274,445.0,96003
556,Merced,37.098671,-121.047718,446.0,95376
557,San Bernardino,34.295334,-114.140222,447.0,92267
558,Shasta,40.628115,-122.467509,450.0,96003
559,Trinity,40.797296,-122.762553,451.0,96003
560,Fremont,43.417872,-108.177545,505.0,82649
561,Gunnison,38.453191,-107.337483,512.0,81401
562,Larimer,40.376771,-105.509665,513.0,80517
563,Montrose,38.451753,-107.539299,514.0,81401
564,Larimer,40.421031,-105.223804,515.0,80538
565,Summit,39.878805,-106.332725,516.0,80459
566,Larimer,40.344080,-105.534308,517.0,80517
567,Larimer,40.364996,-105.236032,518.0,80539
568,Larimer,40.365056,-105.325074,519.0,80537
569,Mesa,39.193660,-108.044088,520.0,81401
570,Mesa,39.143808,-108.004777,521.0,81401
571,Fremont,,,674.0,80251
572,Bonneville,43.334849,-111.205752,850.0,83428
573,Flathead,48.341521,-114.014430,2203.0,59919
574,Big Horn,45.307406,-107.957515,2204.0,59034
575,Natrona,42.476600,-106.795901,4176.0,82620
576,Platte,42.467254,-104.955526,4177.0,82213
577,Platte,42.289868,-104.760634,4178.0,82214
578,Carbon,42.174301,-106.880543,4180.0,82334
579,Carbon,42.156127,-106.908483,4182.0,82334
580,Park,44.502897,-109.181228,4183.0,82414
581,Lincoln,42.027013,-110.063973,4185.0,83101
582,Tuolumne,37.946927,-120.528211,6158.0,95376
583,Montrose,38.510573,-107.625335,6159.0,81401
584,Grant,47.957511,-118.977323,6163.0,99133
585,Lake,39.094197,-106.352331,6208.0,80461
586,Elmore,43.357066,-115.451517,6395.0,83647
587,Gem,43.930462,-116.437172,6396.0,83617
588,Ada,43.537685,-116.093756,6397.0,83706
589,Minidoka,42.669899,-113.483175,6398.0,83350
590,Lewis and Clark,46.649026,-111.727874,6400.0,59601
591,Sierra,33.153358,-107.191973,6402.0,87901
592,Jackson,42.121168,-122.547896,6403.0,97520
593,Wasatch,40.404354,-111.528446,6404.0,84601
594,Daggett,40.914646,-109.421662,6405.0,84023
595,Benton,46.266780,-119.589821,6406.0,99320
596,Yakima,46.618413,-120.477759,6407.0,98901
597,Park,44.513767,-109.129588,6408.0,82414
