UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVAREA
2338,55465,Amelia Energy Center,Jefferson,TX,77713,LNVRA,SERC,22,Entergy Gulf States Inc
2338,55834,Sherry Energy Center,Wood,WI,54454,Wisconsin River,MAIN,22,Wisconsin Power & Light Co
2338,56104,Mankato Energy Center,Blue Earth,MN,56001,City of Mankato POTW,MRO,22,Northern States Power Co
2371,51029,Brown University Central Heating,Providence,RI,2912,City Water Main,NPCC,611,The Narragansett Electric Co
2387,55081,Brownsville Peaking Power,Haywood,TN,38012,,SERC,22,Tennessee Valley Authority
2404,3558,Brownfield,Terry,TX,79316,Municipality,SPP,22,
2409,3559,Silas Ray,Cameron,TX,78520,Rio Grande River,ERCOT,22,
2430,10683,BCP,Morgan,CO,80723,City of Brush,WECC,22,Public Service Co of Colorado
2439,2903,Bryan,Williams,OH,43506,Municipality Wells,ECAR,22,
2439,7657,Auglaize Hydro,Defiance,OH,43500,Auglaize River,ECAR,22,
2442,3561,Bryan,Brazos,TX,77801,Municipality,ERCOT,22,
2442,6243,Dansby,Brazos,TX,77807,Lake,ERCOT,22,
2468,54333,Bucknell University,Union,PA,17837,Municipality,MAAC,611,Citizens Electric Co
2507,375,Magnolia,Los Angeles,CA,91502,Municipality,WECC,22,
2507,6013,Olive,Los Angeles,CA,91502,Municipality,WECC,22,
2507,7987,Lake,Los Angeles,CA,91503,Municipality,WECC,22,
2507,56046,Magnolia Power Project,Los Angeles,CA,91502,Municipality,WECC,22,
2509,52034,Bunge Oil,Kankakee,IL,60915,,MAIN,311,Commonwealth Edison Co
2512,51000,Bunge Milling Cogen,Vermilion,IL,61832,Well,MAIN,311,Illinois Power Co
2518,152,Davis Dam,Mohave,AZ,86430,Colorado River,WECC,22,
2518,153,Glen Canyon Dam,Coconino,AZ,86040,Lake Powell - Colorado River,WECC,22,
2518,154,Hoover Dam,Clark,NV,89006,Lake Mead  - Colorado River,WECC,22,
2518,441,Folsom,Sacramento,CA,95630,American River,WECC,22,
2518,442,Judge F Carr,Shasta,CA,96003,Trinity River,WECC,22,
2518,443,Keswick,Shasta,CA,96003,Sacramento River,WECC,22,
2518,444,Nimbus,Sacramento,CA,95630,American River,WECC,22,
2518,445,Shasta,Shasta,CA,96003,Sacramento River,WECC,22,
2518,446,ONeill,Merced,CA,95376,O'Neill Forebay - San Luis Cre,WECC,22,
2518,447,Parker Dam,San Bernardino,CA,92267,Colorado River,WECC,22,
2518,450,Spring Creek,Shasta,CA,96003,Whiskey Town Reservoir-Clear C,WECC,22,
2518,451,Trinity,Trinity,CA,96003,Trinity River,WECC,22,
2518,505,Boysen,Fremont,WY,82649,Wind River,WECC,22,
2518,512,Blue Mesa,Gunnison,CO,81401,Blue Mesa Reservoir-Gunnison R,WECC,22,
2518,513,Estes,Larimer,CO,80517,Colorado River,WECC,22,
2518,514,Morrow Point,Montrose,CO,81401,Morrow Point Reservoir-Gunniso,WECC,22,
2518,515,Big Thompson,Larimer,CO,80538,Colorado River,WECC,22,
2518,516,Green Mountain,Summit,CO,80459,Blue River,WECC,22,
2518,517,Marys Lake,Larimer,CO,80517,Colorado River,WECC,22,
2518,518,Flatiron,Larimer,CO,80539,Colorado River,WECC,22,
2518,519,Pole Hill,Larimer,CO,80537,Colorado River,WECC,22,
2518,520,Lower Molina,Mesa,CO,81401,Bonham Reservoir,WECC,22,
2518,521,Upper Molina,Mesa,CO,81401,Bonham Reservoir,WECC,22,
2518,674,Pilot Butte,Fremont,WY,80251,Wyoming Canal - Wind River,WECC,22,
2518,850,Palisades,Bonneville,ID,83428,Snake River,WECC,22,
2518,2203,Hungry Horse,Flathead,MT,59919,South Fork Flathead River,WECC,22,
2518,2204,Yellowtail,Big Horn,MT,59034,Bighorn River,WECC,22,
2518,4176,Fremont Canyon,Natrona,WY,82620,North Platte River,WECC,22,
2518,4177,Glendo,Platte,WY,82213,North Platte River,WECC,22,
2518,4178,Guernsey,Platte,WY,82214,North Platte River,WECC,22,
2518,4180,Kortes,Carbon,WY,82334,North Platte River,WECC,22,
2518,4182,Seminoe,Carbon,WY,82334,North Platte Medicine Bow Rive,WECC,22,
2518,4183,Shoshone,Park,WY,82414,Shoshone River,WECC,22,
2518,4185,Fontenelle,Lincoln,WY,83101,Fontenelle Reservoir-Green Riv,WECC,22,
2518,6158,New Melones,Tuolumne,CA,95376,Stanislaus River,WECC,22,
2518,6159,Crystal,Montrose,CO,81401,Crystal Reservoir-Gunnison Riv,WECC,22,
2518,6163,Grand Coulee,Grant,WA,99133,Columbia River,WECC,22,
2518,6208,Mount Elbert,Lake,CO,80461,Fryingpan River,WECC,22,
2518,6395,Anderson Ranch,Elmore,ID,83647,South Fork Boise River,WECC,22,
2518,6396,Black Canyon,Gem,ID,83617,Payette River,WECC,22,
2518,6397,Boise R Diversion,Ada,ID,83706,Boise River,WECC,22,
2518,6398,Minidoka,Minidoka,ID,83350,Snake River,WECC,22,
2518,6400,Canyon Ferry,Lewis and Clark,MT,59601,Missouri River,WECC,22,
2518,6402,Elephant Butte,Sierra,NM,87901,Rio Grande,WECC,22,
2518,6403,Green Springs,Jackson,OR,97520,Trans-Mountain Diversion,WECC,22,
2518,6404,Deer Creek,Wasatch,UT,84601,Deer Creek Reservoir,WECC,22,
2518,6405,Flaming Gorge,Daggett,UT,84023,Flaming Gorge Reservoir-Green,WECC,22,
2518,6406,Chandler,Benton,WA,99320,Yakima River,WECC,22,
2518,6407,Roza,Yakima,WA,98901,Yakima River,WECC,22,
2518,6408,Heart Mountain,Park,WY,82414,Shoshone River,WECC,22,
2518,6409,Alcova,Natrona,WY,82620,North Platte River,WECC,22,
2518,7066,Stampede,Sierra,CA,95734,Little Truckee River,WECC,22,
2518,7317,Buffalo Bill,Park,WY,82414,Shoshone River,WECC,22,
2518,7372,McPhee,Montezuma,CO,81302,McPhee Reservoir-Dolores River,WECC,22,
2518,7373,Towaoc,Montezuma,CO,81302,McPhee Reservoir-Dolores River,WECC,22,
2518,7541,Spirit Mountain,Park,WY,82414,Shoshone River,WECC,22,
2518,8902,Hoover Dam,Mohave,AZ,86430,Lake Mead Colorado River,WECC,22,
2518,54050,Glines Hydroelectric Project,Clallam,WA,98362,Elwha River,WECC,322122,
2518,54051,Elwha Hydroelectric Project,Clallam,WA,98362,Elwha River,WECC,322122,
2522,50466,Buckeye Florida LP,Taylor,FL,32347,Wells,FRCC,322,Progress Energy Florida Inc
2547,1265,Burlingame,Osage,KS,66413,,SPP,22,
2548,589,J C McNeil,Chittenden,VT,5401,Wells,NPCC,22,
2548,3754,Burlington GT,Chittenden,VT,5401,Lake Champlain,NPCC,22,
2550,490,Burlington,Kit Carson,CO,80807,Wells,WECC,22,
2551,1266,Burlington,Coffey,KS,66839,Municipality,SPP,22,
2565,10652,Burney Forest Products,Shasta,CA,96013,Municipality,WECC,22,Pacific Gas & Electric Co
2598,50652,Lyonsdale Associates,Lewis,NY,13368,Moose River,NPCC,22,Niagara Mohawk Power Corp
2609,2222,Burwell,Garfield,NE,68823,Wells,MRO,22,
2634,935,Bushnell,McDonough,IL,61422,Municipality,MAIN,22,
2647,2115,Butler,Bates,MO,64730,Municipality,SPP,22,
2670,54291,Sherwin Alumina,San Patricio,TX,78469,Municipality,ERCOT,331312,Central Power & Light Co
2671,55304,Baconton Power Plant,Mitchell,GA,31716,Floridian Aquifer,SERC,22,Georgia Power Co
2674,10601,BP Wilmington Calciner,Los Angeles,CA,90748,Municipality,WECC,324,Southern California Edison Co
