Year,Plant State,AER Fuel Code,Net Generation MWh
2001,VT,WWW,0.06758515286198778
2001,VT,WND,0.0022138038586491052
2001,VT,OOG,0.0
2001,VT,WOC,0.0
2001,DE,HYC,0.0
2001,DE,COL,0.49159164077021056
2001,DE,DFO,0.020773414631917574
2001,DE,NG,0.23556004373335246
2001,DE,NUC,0.0
2001,DE,RFO,0.2249522548853037
2001,DE,MLG,0.0
2001,DE,PC,0.00363961129507077
2001,DE,SUN,0.0
2001,DE,HPS,0.0
2001,DE,GEO,0.0
2001,DE,ORW,0.0
2001,DE,OTH,0.0
2001,DE,WOO,0.0
2001,DE,WWW,0.0
2001,DE,WND,0.0
2001,DE,OOG,0.023483034684144973
2001,DE,WOC,0.0
2001,MD,HYC,0.024122738462219386
2001,MD,COL,0.5784356985017169
2001,MD,DFO,0.009383938852242958
2001,MD,NG,0.035889276669103125
2001,MD,NUC,0.2783452023638317
2001,MD,RFO,0.05220376750680055
2001,MD,MLG,0.00735959024436717
2001,MD,PC,0.0
2001,MD,SUN,0.0
2001,MD,HPS,0.0
2001,MD,GEO,0.0
2001,MD,ORW,0.0
2001,MD,OTH,0.00504866949267527
2001,MD,WOO,0.0
2001,MD,WWW,0.00024334346794931488
2001,MD,WND,0.0
2001,MD,OOG,0.00896777443909369
2001,MD,WOC,0.0
2001,DC,HYC,0.0
2001,DC,COL,0.0
2001,DC,DFO,0.1344217333798554
2001,DC,NG,0.0
2001,DC,NUC,0.0
2001,DC,RFO,0.8655782666201446
2001,DC,MLG,0.0
2001,DC,PC,0.0
2001,DC,SUN,0.0
2001,DC,HPS,0.0
2001,DC,GEO,0.0
2001,DC,ORW,0.0
2001,DC,OTH,0.0
2001,DC,WOO,0.0
2001,DC,WWW,0.0
2001,DC,WND,0.0
2001,DC,OOG,0.0
2001,DC,WOC,0.0
2001,GA,HYC,0.018552594337823636
2001,GA,COL,0.632925339598916
2001,GA,DFO,0.0032389113540573795
2001,GA,NG,0.0325123796010886
2001,GA,NUC,0.28591465143021016
2001,GA,RFO,0.003043095672129095
2001,GA,MLG,0.00020999054847673594
2001,GA,PC,0.0034781907497197805
2001,GA,SUN,0.0
2001,GA,HPS,-0.00483610097991899
2001,GA,GEO,0.0
2001,GA,ORW,3.1248762185837464e-05
2001,GA,OTH,6.75191375434374e-05
2001,GA,WOO,5.6610470594859544e-05
2001,GA,WWW,0.02480296329276679
2001,GA,WND,0.0
2001,GA,OOG,0.0
2001,GA,WOC,2.6060244066878762e-06
2001,MO,HYC,0.014078517671271707
2001,MO,COL,0.8383431327236558
2001,MO,DFO,0.001600789238494251
2001,MO,NG,0.03513620208806001
2001,MO,NUC,0.10690510732787908
2001,MO,RFO,1.657568264077558e-06
2001,MO,MLG,0.0
2001,MO,PC,0.006528509549828571
2001,MO,SUN,0.0
2001,MO,HPS,-0.003389906757701346
2001,MO,GEO,0.0
2001,MO,ORW,0.00011216809504061816
