,Plant State,AER Fuel Code,m,b,Rsq,Std Error
75,LA,HPS,0.0,0.0,0.0,0.0
76,LA,HYC,-3.209672396771828e-05,0.07443428212391566,0.0039847566060778935,0.00016046961114173322
77,LA,MLG,0.0,0.0,0.0,0.0
78,LA,NG,0.010544067696782157,-20.679334735589496,0.7205286042509802,0.0020765923715054748
79,LA,NUC,-0.0024927678422198936,5.178387718841235,0.43477886859849607,0.0008987870667392047
80,LA,OOG,-0.00011199044017956516,0.24246677454223053,0.008781517740485014,0.00037625376618811567
81,LA,ORW,-2.582601545033628e-06,0.005986433426344576,0.009417766922472346,8.375846403485494e-06
82,LA,OTH,-7.836065955458157e-05,0.16321334781362432,0.03564739809033037,0.00012888491604780492
83,LA,PC,0.0029080401458052582,-5.813884565801084,0.7269364396145648,0.0005636169587771437
84,LA,RFO,-0.001510982389767939,3.040416432273084,0.5365481801202721,0.0004440760339062202
85,LA,SUN,0.0,0.0,0.0,0.0
86,LA,WND,0.0,0.0,0.0,0.0
87,LA,WOC,0.0,0.0,0.0,0.0
88,LA,WOO,2.7677268963721904e-06,-0.0055313033033147505,0.027413107128726938,6.730273042120173e-06
89,LA,WWW,-0.0005656970617560061,1.1629394396829906,0.40438981099569,0.0002171025277358083
90,KY,COL,-0.0015225342593336668,3.9789259511827466,0.08976505513022007,0.0015331695138361004
91,KY,DFO,5.4447161375664805e-06,-0.00969798170504877,0.028431253856243587,1.0065005207368124e-05
92,KY,GEO,0.0,0.0,0.0,0.0
93,KY,HPS,0.0,0.0,0.0,0.0
94,KY,HYC,0.0006835062991288918,-1.343063803314757,0.10209840026383916,0.0006409843488404683
95,KY,MLG,3.76651796675658e-05,-0.07473793125373479,0.6239961373433854,9.24581599193301e-06
96,KY,NG,0.0033317476949986397,-6.673779306513593,0.4548059038168128,0.0011535452395225897
97,KY,NUC,0.0,0.0,0.0,0.0
98,KY,OOG,-4.584005831808268e-06,0.009234104283513532,0.5720021648524963,1.2539121523825192e-06
99,KY,ORW,-3.0457946652416472e-06,0.006140341900117768,0.27020290070342445,1.7697490631781848e-06
