Year,Plant State,AER Fuel Code,Fuel Consumption MWh
2001,KS,WND,0.0008387389276218991
2001,KS,OOG,0.0
2001,KS,WOC,0.0
2001,SC,HYC,0.01303280360625026
2001,SC,COL,0.37527385257886664
2001,SC,DFO,0.0030275692908068603
2001,SC,NG,0.012045276294299759
2001,SC,NUC,0.5359710614940084
2001,SC,RFO,0.0010208771711082267
2001,SC,MLG,0.0006807783574997255
2001,SC,PC,0.0
2001,SC,SUN,0.0
2001,SC,HPS,0.045749977577167845
2001,SC,GEO,0.0
2001,SC,ORW,0.0
2001,SC,OTH,0.0005210306271067147
2001,SC,WOO,0.0
2001,SC,WWW,0.012672728074379712
2001,SC,WND,0.0
2001,SC,OOG,4.0449285062829055e-06
2001,SC,WOC,0.0
2001,FL,HYC,0.0007879398620655076
2001,FL,COL,0.35744168393844966
2001,FL,DFO,0.00845667545038577
2001,FL,NG,0.2056954501729399
2001,FL,NUC,0.17024557905409013
2001,FL,RFO,0.19193050101084022
2001,FL,MLG,0.015660210442280647
2001,FL,PC,0.013656831412997002
2001,FL,SUN,0.0
2001,FL,HPS,0.0
2001,FL,GEO,0.0
2001,FL,ORW,0.0011398735526755937
2001,FL,OTH,0.02322296317884016
2001,FL,WOO,9.084922157241975e-06
2001,FL,WWW,0.011748862510836742
2001,FL,WND,0.0
2001,FL,OOG,4.344491441294872e-06
2001,FL,WOC,0.0
2001,NV,HYC,0.0756768292289627
2001,NV,COL,0.5351630499709242
2001,NV,DFO,0.0005866156288208106
2001,NV,NG,0.3153660036679046
2001,NV,NUC,0.0
2001,NV,RFO,0.03889123343025593
2001,NV,MLG,0.0
2001,NV,PC,0.0
2001,NV,SUN,0.0
2001,NV,HPS,0.0
2001,NV,GEO,0.034316268073131616
2001,NV,ORW,0.0
2001,NV,OTH,0.0
2001,NV,WOO,0.0
2001,NV,WWW,0.0
2001,NV,WND,0.0
2001,NV,OOG,0.0
2001,NV,WOC,0.0
2001,UT,HYC,0.014248913101563544
2001,UT,COL,0.9141845998110665
2001,UT,DFO,0.001741415442065207
2001,UT,NG,0.049990094504915164
2001,UT,NUC,0.0
2001,UT,RFO,0.0
2001,UT,MLG,0.0002433851999203916
2001,UT,PC,0.0
2001,UT,SUN,0.0
2001,UT,HPS,0.0
2001,UT,GEO,0.004313792389114295
2001,UT,ORW,0.0
2001,UT,OTH,0.00018360637888731294
2001,UT,WOO,0.0
2001,UT,WWW,0.0
2001,UT,WND,0.0
2001,UT,OOG,0.0
2001,UT,WOC,0.015094193172467503
2001,OK,HYC,0.040930585234959904
2001,OK,COL,0.6184514931285722
2001,OK,DFO,0.0025760657904995883
2001,OK,NG,0.3242047830179127
2001,OK,NUC,0.0
2001,OK,RFO,0.0006043067712511075
