,State,Sector,m,b,Rsq,Std Error
79,Illinois , residential,0.13829284684909535,-266.1934451969544,0.3951532887669835,0.047453462000794644
80,Illinois , commercial,-0.045379555280587916,100.53049088921443,0.14406922689538781,0.030677662615039104
81,Illinois , industrial,0.06414936729227394,-122.19889703260861,0.11446753896115036,0.04948593395619339
82,Illinois , transportation,,,,
83,Illinois , other,,,,
84,Indiana , all sectors,0.19438504014598948,-382.39007106340307,0.9434821996833561,0.013195229019762736
85,Indiana , residential,0.22554830176964596,-442.79971148106574,0.9475415945363485,0.014718931576358127
86,Indiana , commercial,0.2143260442132624,-421.6336612611624,0.9602003395191838,0.012102135975086898
87,Indiana , industrial,0.15973108593814697,-314.7080669092347,0.9062207004005501,0.014251293074233038
88,Indiana , transportation,,,,
89,Indiana , other,,,,
90,Michigan , all sectors,0.21985879980190423,-431.3997421445991,0.8123169749802758,0.029310411090281967
91,Michigan , residential,0.3890947167120882,-768.7960459840481,0.8814903891205936,0.03956868823533681
92,Michigan , commercial,0.12896783262113024,-248.6165809898528,0.6684888328805978,0.0251890464924354
93,Michigan , industrial,0.11884290687944003,-231.42448549316936,0.5900291749146458,0.027475229109419724
94,Michigan , transportation,,,,
95,Michigan , other,,,,
96,Ohio , all sectors,0.11572556432483888,-223.09640143663802,0.7797045244389735,0.017060642900813067
97,Ohio , residential,0.19073417104888402,-371.47610399553423,0.865437634925084,0.020859348849984315
98,Ohio , commercial,-0.0004990040451812457,11.099194292722482,2.3814214171200136e-05,0.028360187074709775
99,Ohio , industrial,0.07484659000751358,-143.7441495863048,0.48738113718561843,0.021289392828854004
100,Ohio , transportation,,,,
101,Ohio , other,,,,
102,Wisconsin , all sectors,0.23674111164849723,-465.6011947781716,0.8933022981575075,0.022692393892935748
103,Wisconsin , residential,0.2997036976534646,-589.1746492273228,0.9297471779995978,0.02284914100130674
104,Wisconsin , commercial,0.22273588933280217,-437.2037908471173,0.8866520824650677,0.022087607577450052
105,Wisconsin , industrial,0.1638324877652133,-321.99717892319904,0.855857583684017,0.018647623719952825
106,Wisconsin , transportation,,,,
107,Wisconsin , other,,,,
108,West North Central , all sectors,0.14220230934032557,-277.2154316873322,0.8924163676153238,0.013693810428776045
109,West North Central , residential,0.17125105345761618,-333.68226732251134,0.861326120884795,0.019057902409615256
110,West North Central , commercial,0.14026299536465037,-273.33565261358166,0.8531845533326973,0.0161374836905584
111,West North Central , industrial,0.119387917775495,-233.60575270887358,0.9485552663217897,0.007711304337694631
112,West North Central , transportation,,,,
113,West North Central , other,,,,
114,Iowa , all sectors,0.03793584706306887,-68.10340761568656,0.49232256618899334,0.010684326918653163
115,Iowa , residential,0.04747211728775385,-84.1785513715425,0.5155987115828723,0.012761850681550436
116,Iowa , commercial,0.03178571042041689,-55.36072345450438,0.22995141812574355,0.016132484737887032
117,Iowa , industrial,0.040325583372898446,-75.3841875131982,0.5809019924062827,0.009499819372293494
118,Iowa , transportation,,,,
119,Iowa , other,,,,
120,Kansas , all sectors,0.19098757854683102,-374.6834181889635,0.8391978730885818,0.023187138361122687
121,Kansas , residential,0.2205922158137091,-432.3226819138777,0.7984318733751408,0.0307404700447653
122,Kansas , commercial,0.18272446575633353,-358.11372788162373,0.8411599299808389,0.022022457039459188
123,Kansas , industrial,0.16652323662231375,-327.77211639812225,0.8880424652887418,0.016398833777974874
124,Kansas , transportation,,,,
125,Kansas , other,,,,
126,Minnesota , all sectors,0.17599897795712335,-344.74832649260117,0.9334151155050777,0.01303733665837862
127,Minnesota , residential,0.218258974999683,-427.3467253833011,0.9380174926017094,0.015560714584146044
128,Minnesota , commercial,0.17139897880705712,-335.4772791485234,0.9168453272235215,0.014316334774289863
129,Minnesota , industrial,0.1315464377341496,-257.72524912704307,0.8387015412399053,0.01599995657823313
130,Minnesota , transportation,,,,
131,Minnesota , other,,,,
132,Missouri , all sectors,0.14964741867478717,-292.2593108911666,0.7581989897091583,0.0234387803200902
