"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Oct 24 2017 21:59:13 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Tennessee : all sectors","cents per kilowatthour","ELEC.PRICE.TN-ALL.A",5.59,5.72,5.84,6.14,6.31,6.97,7.07,8.18,8.69,8.61,9.28,9.27,9.13,9.40,9.30,9.26
"Tennessee : residential","cents per kilowatthour","ELEC.PRICE.TN-RES.A",6.32,6.41,6.55,6.90,6.98,7.75,7.84,8.91,9.32,9.23,9.98,10.10,9.98,10.32,10.30,10.33
"Tennessee : commercial","cents per kilowatthour","ELEC.PRICE.TN-COM.A",6.31,6.45,6.68,7.05,7.17,8.00,8.09,9.24,9.61,9.66,10.27,10.31,10.00,10.38,10.16,10.03
"Tennessee : industrial","cents per kilowatthour","ELEC.PRICE.TN-IND.A",4.05,4.15,4.29,4.46,4.73,5.17,5.19,6.29,6.76,6.58,7.23,7.08,6.29,6.40,6.17,5.82
"Tennessee : transportation","cents per kilowatthour","ELEC.PRICE.TN-TRA.A","--","--","--",11.75,11.46,11.18,10.31,10.17,10.70,11.09,12.07,11.29,11.68,8.57,"--","--"
"Tennessee : other","cents per kilowatthour","ELEC.PRICE.TN-OTH.A",8.83,8.92,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West South Central","cents per kilowatthour","ELEC.PRICE.WSC-ALL.A",,,,,,,,,,,,,,,,
"West South Central : all sectors","cents per kilowatthour","ELEC.PRICE.WSC-ALL.A",7.07,6.33,7.13,7.47,8.48,9.42,9.27,10.13,8.94,8.74,8.54,8.11,8.42,8.65,8.41,8.07
"West South Central : residential","cents per kilowatthour","ELEC.PRICE.WSC-RES.A",8.45,7.70,8.61,9.05,10.04,11.48,11.15,11.86,11.04,10.67,10.42,10.30,10.74,11.12,10.95,10.56
"West South Central : commercial","cents per kilowatthour","ELEC.PRICE.WSC-COM.A",7.46,6.69,7.44,7.54,8.43,9.26,9.26,10.12,8.94,8.78,8.56,7.99,8.11,8.26,8.18,7.81
"West South Central : industrial","cents per kilowatthour","ELEC.PRICE.WSC-IND.A",5.15,4.48,5.14,5.58,6.60,7.17,7.14,8.08,6.21,6.12,6.00,5.39,5.82,6.10,5.59,5.21
"West South Central : transportation","cents per kilowatthour","ELEC.PRICE.WSC-TRA.A","--","--",6.64,7.04,8.33,8.64,8.65,8.88,9.87,9.78,9.85,10.30,10.08,5.44,5.53,5.67
"West South Central : other","cents per kilowatthour","ELEC.PRICE.WSC-OTH.A",7.34,6.31,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas","cents per kilowatthour","ELEC.PRICE.AR-ALL.A",,,,,,,,,,,,,,,,
"Arkansas : all sectors","cents per kilowatthour","ELEC.PRICE.AR-ALL.A",6.05,5.61,5.57,5.67,6.30,6.99,6.96,7.60,7.57,7.28,7.43,7.62,7.93,7.90,8.19,8.05
"Arkansas : residential","cents per kilowatthour","ELEC.PRICE.AR-RES.A",7.72,7.25,7.24,7.36,8.00,8.85,8.73,9.27,9.14,8.86,9.02,9.30,9.59,9.51,9.82,9.90
"Arkansas : commercial","cents per kilowatthour","ELEC.PRICE.AR-COM.A",6.19,5.68,5.54,5.64,6.18,6.96,6.91,7.61,7.56,7.31,7.50,7.71,8.05,8.05,8.32,8.13
"Arkansas : industrial","cents per kilowatthour","ELEC.PRICE.AR-IND.A",4.43,4.01,4.04,4.16,4.74,5.24,5.25,5.89,5.76,5.44,5.63,5.76,6.04,6.02,6.23,5.93
"Arkansas : transportation","cents per kilowatthour","ELEC.PRICE.AR-TRA.A","--","--","--","--","--","--","--",11.78,12.32,11.34,11.10,11.23,11.58,11.35,11.22,10.40
"Arkansas : other","cents per kilowatthour","ELEC.PRICE.AR-OTH.A",6.91,6.52,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana","cents per kilowatthour","ELEC.PRICE.LA-ALL.A",,,,,,,,,,,,,,,,
"Louisiana : all sectors","cents per kilowatthour","ELEC.PRICE.LA-ALL.A",6.96,5.99,6.93,7.13,8.03,8.30,8.39,9.44,7.06,7.80,7.68,6.90,8.04,8.09,7.65,7.41
"Louisiana : residential","cents per kilowatthour","ELEC.PRICE.LA-RES.A",7.92,7.10,7.84,8.05,8.87,9.14,9.37,10.28,8.10,8.98,8.96,8.37,9.43,9.57,9.33,9.11
"Louisiana : commercial","cents per kilowatthour","ELEC.PRICE.LA-COM.A",7.58,6.64,7.42,7.58,8.56,9.03,9.13,10.12,7.69,8.50,8.44,7.75,8.96,9.10,8.66,8.49
"Louisiana : industrial","cents per kilowatthour","ELEC.PRICE.LA-IND.A",5.58,4.42,5.57,5.82,6.71,6.87,6.77,7.94,5.25,5.84,5.69,4.76,5.92,6.05,5.41,5.03
"Louisiana : transportation","cents per kilowatthour","ELEC.PRICE.LA-TRA.A","--","--",7.32,7.09,7.63,14.10,13.91,11.88,10.09,9.46,8.33,8.72,9.45,9.27,8.28,9.03
"Louisiana : other","cents per kilowatthour","ELEC.PRICE.LA-OTH.A",8.43,7.05,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma","cents per kilowatthour","ELEC.PRICE.OK-ALL.A",,,,,,,,,,,,,,,,
"Oklahoma : all sectors","cents per kilowatthour","ELEC.PRICE.OK-ALL.A",6.10,5.59,6.35,6.50,6.85,7.30,7.29,7.81,6.94,7.59,7.80,7.54,7.86,8.18,7.90,7.72
"Oklahoma : residential","cents per kilowatthour","ELEC.PRICE.OK-RES.A",7.27,6.73,7.47,7.72,7.95,8.55,8.58,9.09,8.49,9.14,9.47,9.51,9.67,10.03,10.14,10.07
"Oklahoma : commercial","cents per kilowatthour","ELEC.PRICE.OK-COM.A",6.35,5.75,6.38,6.55,7.00,7.34,7.33,7.88,6.76,7.45,7.60,7.32,7.77,8.09,7.68,7.47
"Oklahoma : industrial","cents per kilowatthour","ELEC.PRICE.OK-IND.A",4.29,3.81,4.59,4.76,5.11,5.46,5.41,5.90,4.82,5.35,5.46,5.09,5.49,5.85,5.35,4.85
"Oklahoma : transportation","cents per kilowatthour","ELEC.PRICE.OK-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma : other","cents per kilowatthour","ELEC.PRICE.OK-OTH.A",5.39,5.06,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas","cents per kilowatthour","ELEC.PRICE.TX-ALL.A",,,,,,,,,,,,,,,,
"Texas : all sectors","cents per kilowatthour","ELEC.PRICE.TX-ALL.A",7.38,6.62,7.50,7.95,9.14,10.34,10.11,10.99,9.86,9.34,9.00,8.55,8.66,8.94,8.70,8.28
"Texas : residential","cents per kilowatthour","ELEC.PRICE.TX-RES.A",8.86,8.05,9.16,9.73,10.93,12.86,12.34,13.03,12.38,11.60,11.08,10.98,11.35,11.86,11.56,11.02
"Texas : commercial","cents per kilowatthour","ELEC.PRICE.TX-COM.A",7.74,6.95,7.84,7.90,8.85,9.85,9.87,10.75,9.66,9.19,8.83,8.16,8.02,8.16,8.15,7.71
"Texas : industrial","cents per kilowatthour","ELEC.PRICE.TX-IND.A",5.27,4.66,5.27,5.87,7.14,7.82,7.79,8.79,6.74,6.44,6.24,5.57,5.81,6.16,5.59,5.22
"Texas : transportation","cents per kilowatthour","ELEC.PRICE.TX-TRA.A","--","--",6.62,7.02,8.45,8.42,8.40,8.64,9.83,9.82,10.08,10.54,10.19,5.17,5.34,5.43
"Texas : other","cents per kilowatthour","ELEC.PRICE.TX-OTH.A",7.56,6.55,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mountain","cents per kilowatthour","ELEC.PRICE.MTN-ALL.A",,,,,,,,,,,,,,,,
"Mountain : all sectors","cents per kilowatthour","ELEC.PRICE.MTN-ALL.A",6.44,6.52,6.71,6.86,7.26,7.46,7.69,8.18,8.41,8.59,8.63,8.82,9.18,9.42,9.48,9.33
"Mountain : residential","cents per kilowatthour","ELEC.PRICE.MTN-RES.A",7.80,7.87,8.02,8.24,8.67,8.98,9.31,9.84,10.18,10.49,10.56,10.94,11.31,11.67,11.83,11.68
"Mountain : commercial","cents per kilowatthour","ELEC.PRICE.MTN-COM.A",6.53,6.63,6.84,7.06,7.37,7.58,7.77,8.36,8.53,8.75,8.86,8.99,9.35,9.65,9.71,9.56
"Mountain : industrial","cents per kilowatthour","ELEC.PRICE.MTN-IND.A",4.84,4.86,5.01,5.05,5.46,5.51,5.68,6.05,6.09,6.13,6.08,6.18,6.48,6.68,6.59,6.33
"Mountain : transportation","cents per kilowatthour","ELEC.PRICE.MTN-TRA.A","--","--",6.80,6.25,6.74,7.78,7.56,8.25,8.38,9.10,9.48,9.62,10.47,10.49,9.97,9.65
"Mountain : other","cents per kilowatthour","ELEC.PRICE.MTN-OTH.A",5.83,5.57,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona","cents per kilowatthour","ELEC.PRICE.AZ-ALL.A",,,,,,,,,,,,,,,,
"Arizona : all sectors","cents per kilowatthour","ELEC.PRICE.AZ-ALL.A",7.27,7.21,7.34,7.45,7.79,8.24,8.54,9.11,9.56,9.69,9.71,9.81,10.14,10.18,10.34,10.40
"Arizona : residential","cents per kilowatthour","ELEC.PRICE.AZ-RES.A",8.30,8.27,8.35,8.46,8.86,9.40,9.66,10.27,10.73,10.97,11.08,11.29,11.71,11.90,12.13,12.21
"Arizona : commercial","cents per kilowatthour","ELEC.PRICE.AZ-COM.A",7.37,7.28,7.09,7.28,7.40,8.02,8.27,8.93,9.35,9.47,9.50,9.53,9.85,10.13,10.39,10.49
"Arizona : industrial","cents per kilowatthour","ELEC.PRICE.AZ-IND.A",5.24,5.20,5.37,5.35,5.85,5.69,6.05,6.57,6.65,6.63,6.55,6.53,6.66,6.46,6.26,6.07
"Arizona : transportation","cents per kilowatthour","ELEC.PRICE.AZ-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",9.40,9.38
"Arizona : other","cents per kilowatthour","ELEC.PRICE.AZ-OTH.A",4.93,4.56,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado","cents per kilowatthour","ELEC.PRICE.CO-ALL.A",,,,,,,,,,,,,,,,
"Colorado : all sectors","cents per kilowatthour","ELEC.PRICE.CO-ALL.A",6.02,6.00,6.77,6.95,7.64,7.61,7.76,8.59,8.31,9.15,9.39,9.39,9.88,10.06,9.94,9.76
"Colorado : residential","cents per kilowatthour","ELEC.PRICE.CO-RES.A",7.47,7.37,8.14,8.42,9.06,9.02,9.25,10.13,10.00,11.04,11.27,11.46,11.93,12.18,12.12,12.02
"Colorado : commercial","cents per kilowatthour","ELEC.PRICE.CO-COM.A",5.67,5.67,6.60,6.89,7.62,7.50,7.62,8.57,8.15,9.13,9.44,9.39,9.86,10.08,9.88,9.66
"Colorado : industrial","cents per kilowatthour","ELEC.PRICE.CO-IND.A",4.48,4.52,5.10,5.11,5.74,5.88,5.97,6.65,6.39,6.90,7.06,6.95,7.34,7.47,7.40,7.13
"Colorado : transportation","cents per kilowatthour","ELEC.PRICE.CO-TRA.A","--","--",7.32,5.81,5.01,7.78,7.18,8.32,8.14,9.34,9.79,9.69,10.55,10.79,10.08,9.80
"Colorado : other","cents per kilowatthour","ELEC.PRICE.CO-OTH.A",8.36,6.64,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho","cents per kilowatthour","ELEC.PRICE.ID-ALL.A",,,,,,,,,,,,,,,,
"Idaho : all sectors","cents per kilowatthour","ELEC.PRICE.ID-ALL.A",4.92,5.58,5.22,4.97,5.12,4.92,5.07,5.69,6.51,6.54,6.44,6.92,7.57,7.93,8.09,8.13
"Idaho : residential","cents per kilowatthour","ELEC.PRICE.ID-RES.A",6.01,6.59,6.24,6.10,6.29,6.21,6.36,6.99,7.80,7.99,7.87,8.67,9.32,9.72,9.93,10.00
"Idaho : commercial","cents per kilowatthour","ELEC.PRICE.ID-COM.A",5.13,5.71,5.56,5.37,5.42,5.16,5.14,5.72,6.49,6.64,6.41,6.86,7.37,7.78,7.80,7.80
"Idaho : industrial","cents per kilowatthour","ELEC.PRICE.ID-IND.A",3.71,4.34,4.16,3.82,3.91,3.61,3.87,4.48,5.17,5.15,5.10,5.48,6.09,6.40,6.60,6.58
"Idaho : transportation","cents per kilowatthour","ELEC.PRICE.ID-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : other","cents per kilowatthour","ELEC.PRICE.ID-OTH.A",4.66,5.18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana","cents per kilowatthour","ELEC.PRICE.MT-ALL.A",,,,,,,,,,,,,,,,
"Montana : all sectors","cents per kilowatthour","ELEC.PRICE.MT-ALL.A",6.48,5.70,6.14,6.40,6.72,6.91,7.13,7.72,7.58,7.84,8.23,8.25,8.58,8.59,8.90,8.89
"Montana : residential","cents per kilowatthour","ELEC.PRICE.MT-RES.A",6.88,7.23,7.56,7.86,8.10,8.28,8.77,9.13,8.94,9.16,9.75,10.08,10.33,10.18,10.88,11.04
"Montana : commercial","cents per kilowatthour","ELEC.PRICE.MT-COM.A",5.91,6.28,6.85,7.42,7.43,7.44,8.10,8.54,8.32,8.55,9.12,9.13,9.54,9.64,10.23,10.18
"Montana : industrial","cents per kilowatthour","ELEC.PRICE.MT-IND.A",6.59,3.71,4.03,4.15,4.83,5.12,5.16,5.90,5.46,5.55,5.27,5.10,5.43,5.49,5.32,4.97
"Montana : transportation","cents per kilowatthour","ELEC.PRICE.MT-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : other","cents per kilowatthour","ELEC.PRICE.MT-OTH.A",7.47,7.04,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada","cents per kilowatthour","ELEC.PRICE.NV-ALL.A",,,,,,,,,,,,,,,,
"Nevada : all sectors","cents per kilowatthour","ELEC.PRICE.NV-ALL.A",7.86,8.42,8.29,8.56,9.02,9.63,9.99,9.89,10.36,9.73,8.97,8.95,9.03,9.73,9.48,8.40
"Nevada : residential","cents per kilowatthour","ELEC.PRICE.NV-RES.A",9.08,9.43,9.02,9.69,10.20,11.08,11.82,11.93,12.86,12.36,11.61,11.83,11.89,12.93,12.76,11.42
"Nevada : commercial","cents per kilowatthour","ELEC.PRICE.NV-COM.A",8.45,9.06,8.79,9.08,9.48,10.12,10.09,10.07,10.64,9.79,9.05,8.83,9.01,9.47,9.25,8.00
"Nevada : industrial","cents per kilowatthour","ELEC.PRICE.NV-IND.A",6.56,7.25,7.30,7.24,7.71,8.03,8.28,7.98,7.97,7.37,6.65,6.48,6.52,7.12,6.75,5.86
"Nevada : transportation","cents per kilowatthour","ELEC.PRICE.NV-TRA.A","--","--","--","--",9.34,9.90,9.98,9.47,9.95,9.40,8.58,8.40,8.47,9.25,9.11,7.83
"Nevada : other","cents per kilowatthour","ELEC.PRICE.NV-OTH.A",6.15,6.54,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico","cents per kilowatthour","ELEC.PRICE.NM-ALL.A",,,,,,,,,,,,,,,,
"New Mexico : all sectors","cents per kilowatthour","ELEC.PRICE.NM-ALL.A",7.16,6.73,7.00,7.10,7.51,7.37,7.44,8.35,8.09,8.40,8.74,8.83,9.25,9.65,9.62,9.17
"New Mexico : residential","cents per kilowatthour","ELEC.PRICE.NM-RES.A",8.74,8.50,8.69,8.67,9.13,9.06,9.12,10.01,10.02,10.52,11.00,11.37,11.68,12.28,12.47,12.08
"New Mexico : commercial","cents per kilowatthour","ELEC.PRICE.NM-COM.A",7.50,7.22,7.36,7.39,7.81,7.61,7.66,8.67,8.40,8.57,9.07,9.32,9.74,10.27,10.30,9.85
"New Mexico : industrial","cents per kilowatthour","ELEC.PRICE.NM-IND.A",5.45,4.48,4.95,5.22,5.61,5.57,5.60,6.38,5.72,6.01,6.06,5.83,6.36,6.61,6.33,5.73
"New Mexico : transportation","cents per kilowatthour","ELEC.PRICE.NM-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : other","cents per kilowatthour","ELEC.PRICE.NM-OTH.A",6.37,6.23,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah","cents per kilowatthour","ELEC.PRICE.UT-ALL.A",,,,,,,,,,,,,,,,
"Utah : all sectors","cents per kilowatthour","ELEC.PRICE.UT-ALL.A",5.21,5.39,5.41,5.69,5.92,5.99,6.41,6.49,6.77,6.94,7.13,7.84,8.15,8.35,8.54,8.77
"Utah : residential","cents per kilowatthour","ELEC.PRICE.UT-RES.A",6.72,6.79,6.90,7.21,7.52,7.59,8.15,8.26,8.48,8.71,8.96,9.93,10.37,10.65,10.88,11.08
"Utah : commercial","cents per kilowatthour","ELEC.PRICE.UT-COM.A",5.58,5.60,5.59,5.90,6.07,6.15,6.54,6.66,6.96,7.15,7.35,8.06,8.32,8.53,8.62,8.84
"Utah : industrial","cents per kilowatthour","ELEC.PRICE.UT-IND.A",3.53,3.84,3.79,4.01,4.24,4.21,4.52,4.59,4.81,4.93,5.10,5.62,5.87,6.08,6.17,6.31
"Utah : transportation","cents per kilowatthour","ELEC.PRICE.UT-TRA.A","--","--",6.01,6.57,7.20,7.19,7.44,7.85,8.31,8.69,9.24,9.79,10.68,10.34,10.05,9.76
"Utah : other","cents per kilowatthour","ELEC.PRICE.UT-OTH.A",4.53,4.69,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming","cents per kilowatthour","ELEC.PRICE.WY-ALL.A",,,,,,,,,,,,,,,,
"Wyoming : all sectors","cents per kilowatthour","ELEC.PRICE.WY-ALL.A",4.46,4.68,4.76,4.98,5.16,5.27,5.29,5.67,6.08,6.20,6.58,7.19,7.55,7.76,7.97,8.19
"Wyoming : residential","cents per kilowatthour","ELEC.PRICE.WY-RES.A",6.77,6.97,7.04,7.21,7.48,7.75,7.75,8.21,8.58,8.77,9.11,9.85,10.16,10.50,10.97,11.18
"Wyoming : commercial","cents per kilowatthour","ELEC.PRICE.WY-COM.A",5.41,5.71,5.74,5.98,6.17,6.28,6.25,6.71,7.28,7.42,7.72,8.24,8.57,8.88,9.12,9.44
"Wyoming : industrial","cents per kilowatthour","ELEC.PRICE.WY-IND.A",3.43,3.55,3.65,3.91,3.99,4.04,4.10,4.47,4.83,4.98,5.41,6.03,6.42,6.61,6.76,6.92
"Wyoming : transportation","cents per kilowatthour","ELEC.PRICE.WY-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : other","cents per kilowatthour","ELEC.PRICE.WY-OTH.A",5.07,5.93,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Contiguous","cents per kilowatthour","ELEC.PRICE.PCC-ALL.A",,,,,,,,,,,,,,,,
"Pacific Contiguous : all sectors","cents per kilowatthour","ELEC.PRICE.PCC-ALL.A",9.26,10.11,9.83,9.55,9.74,10.62,10.71,10.57,11.04,10.92,11.01,11.38,11.94,12.55,12.82,12.82
"Pacific Contiguous : residential","cents per kilowatthour","ELEC.PRICE.PCC-RES.A",9.68,10.27,10.11,10.11,10.36,11.62,11.82,11.55,12.15,12.31,12.43,12.94,13.51,13.64,14.28,14.56
"Pacific Contiguous : commercial","cents per kilowatthour","ELEC.PRICE.PCC-COM.A",10.23,11.41,10.69,10.19,10.42,11.22,11.19,11.04,11.59,11.58,11.61,11.92,12.49,13.60,13.71,13.28
"Pacific Contiguous : industrial","cents per kilowatthour","ELEC.PRICE.PCC-IND.A",7.64,7.97,7.75,7.35,7.47,7.85,7.89,7.97,8.01,7.47,7.62,7.78,8.61,9.08,9.03,9.14
"Pacific Contiguous : transportation","cents per kilowatthour","ELEC.PRICE.PCC-TRA.A","--","--",5.85,6.42,6.55,6.30,8.33,8.12,8.30,8.23,8.13,7.21,8.54,8.91,8.99,8.97
"Pacific Contiguous : other","cents per kilowatthour","ELEC.PRICE.PCC-OTH.A",7.55,6.23,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"California","cents per kilowatthour","ELEC.PRICE.CA-ALL.A",,,,,,,,,,,,,,,,
"California : all sectors","cents per kilowatthour","ELEC.PRICE.CA-ALL.A",11.22,12.19,11.78,11.35,11.63,12.82,12.80,12.49,13.24,13.01,13.05,13.53,14.30,15.15,15.42,15.31
"California : residential","cents per kilowatthour","ELEC.PRICE.CA-RES.A",12.09,12.64,12.23,12.20,12.51,14.33,14.42,13.81,14.74,14.75,14.78,15.34,16.23,16.25,16.99,17.40
"California : commercial","cents per kilowatthour","ELEC.PRICE.CA-COM.A",12.15,13.36,12.48,11.64,11.92,12.90,12.82,12.54,13.27,13.09,13.05,13.41,14.20,15.62,15.73,15.15
"California : industrial","cents per kilowatthour","ELEC.PRICE.CA-IND.A",9.23,9.81,9.59,9.27,9.55,10.09,9.98,10.09,10.42,9.80,10.11,10.49,11.44,12.34,12.17,12.07
"California : transportation","cents per kilowatthour","ELEC.PRICE.CA-TRA.A","--","--",5.80,6.42,6.55,6.29,8.37,8.16,8.35,8.27,8.14,7.17,8.54,8.90,8.99,8.96
"California : other","cents per kilowatthour","ELEC.PRICE.CA-OTH.A",8.48,6.60,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon","cents per kilowatthour","ELEC.PRICE.OR-ALL.A",,,,,,,,,,,,,,,,
"Oregon : all sectors","cents per kilowatthour","ELEC.PRICE.OR-ALL.A",5.44,6.32,6.18,6.21,6.34,6.53,7.02,7.24,7.47,7.56,8.04,8.21,8.44,8.68,8.75,8.90
"Oregon : residential","cents per kilowatthour","ELEC.PRICE.OR-RES.A",6.29,7.12,7.06,7.18,7.25,7.48,8.19,8.49,8.68,8.87,9.54,9.80,9.90,10.47,10.66,10.63
"Oregon : commercial","cents per kilowatthour","ELEC.PRICE.OR-COM.A",5.45,6.59,6.38,6.45,6.51,6.77,7.20,7.29,7.50,7.59,8.15,8.31,8.68,8.75,8.80,8.87
"Oregon : industrial","cents per kilowatthour","ELEC.PRICE.OR-IND.A",4.21,4.72,4.63,4.43,4.83,4.85,5.06,5.26,5.40,5.40,5.47,5.59,5.80,5.97,5.97,6.16
"Oregon : transportation","cents per kilowatthour","ELEC.PRICE.OR-TRA.A","--","--",6.68,6.50,6.36,6.40,6.71,6.75,6.83,6.99,7.89,8.24,8.88,9.21,9.14,9.26
"Oregon : other","cents per kilowatthour","ELEC.PRICE.OR-OTH.A",7.33,9.44,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington","cents per kilowatthour","ELEC.PRICE.WA-ALL.A",,,,,,,,,,,,,,,,
"Washington : all sectors","cents per kilowatthour","ELEC.PRICE.WA-ALL.A",5.34,5.88,5.86,5.80,5.87,6.14,6.37,6.55,6.59,6.66,6.78,6.94,7.09,7.13,7.40,7.70
"Washington : residential","cents per kilowatthour","ELEC.PRICE.WA-RES.A",5.70,6.29,6.31,6.37,6.54,6.82,7.26,7.54,7.67,8.04,8.28,8.53,8.70,8.67,9.09,9.38
"Washington : commercial","cents per kilowatthour","ELEC.PRICE.WA-COM.A",5.45,6.11,6.07,6.17,6.33,6.63,6.55,6.77,6.97,7.37,7.49,7.68,7.78,7.97,8.22,8.37
"Washington : industrial","cents per kilowatthour","ELEC.PRICE.WA-IND.A",4.75,4.88,4.76,4.28,4.27,4.44,4.57,4.52,4.40,4.08,4.09,4.13,4.23,4.32,4.35,4.53
"Washington : transportation","cents per kilowatthour","ELEC.PRICE.WA-TRA.A","--","--",6.45,6.44,6.44,5.93,5.74,5.82,5.91,7.42,8.54,8.06,8.04,8.48,8.18,8.96
"Washington : other","cents per kilowatthour","ELEC.PRICE.WA-OTH.A",4.69,4.94,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Noncontiguous","cents per kilowatthour","ELEC.PRICE.PCN-ALL.A",,,,,,,,,,,,,,,,
"Pacific Noncontiguous : all sectors","cents per kilowatthour","ELEC.PRICE.PCN-ALL.A",12.79,12.35,13.09,14.05,15.96,17.82,18.29,23.73,18.87,21.14,25.57,26.96,26.59,27.13,22.80,21.71
"Pacific Noncontiguous : residential","cents per kilowatthour","ELEC.PRICE.PCN-RES.A",14.64,14.20,14.85,15.84,17.78,19.94,20.56,25.99,21.31,23.22,27.49,28.76,28.56,29.13,25.34,24.48
"Pacific Noncontiguous : commercial","cents per kilowatthour","ELEC.PRICE.PCN-COM.A",12.90,12.46,13.15,14.02,15.76,17.18,17.58,22.50,18.48,20.45,24.45,25.50,25.49,26.29,22.51,21.61
"Pacific Noncontiguous : industrial","cents per kilowatthour","ELEC.PRICE.PCN-IND.A",10.78,10.26,11.23,12.23,14.31,16.41,16.86,22.95,16.83,19.88,25.02,26.99,26.08,26.30,20.77,19.31
"Pacific Noncontiguous : transportation","cents per kilowatthour","ELEC.PRICE.PCN-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Noncontiguous : other","cents per kilowatthour","ELEC.PRICE.PCN-OTH.A",14.97,14.63,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska","cents per kilowatthour","ELEC.PRICE.AK-ALL.A",,,,,,,,,,,,,,,,
"Alaska : all sectors","cents per kilowatthour","ELEC.PRICE.AK-ALL.A",10.54,10.46,10.50,10.99,11.72,12.84,13.28,14.74,15.09,14.76,16.08,16.33,16.49,17.46,17.59,18.40
"Alaska : residential","cents per kilowatthour","ELEC.PRICE.AK-RES.A",12.12,12.05,11.98,12.44,13.30,14.83,15.18,16.56,17.14,16.26,17.62,17.88,18.12,19.14,19.83,20.61
"Alaska : commercial","cents per kilowatthour","ELEC.PRICE.AK-COM.A",10.29,10.13,10.49,10.99,11.56,11.93,12.19,13.64,14.46,13.95,15.10,14.93,15.58,17.09,17.44,18.19
"Alaska : industrial","cents per kilowatthour","ELEC.PRICE.AK-IND.A",7.61,7.65,7.86,8.33,9.29,11.54,12.63,14.17,13.15,14.14,15.71,16.82,15.83,15.66,14.53,15.56
"Alaska : transportation","cents per kilowatthour","ELEC.PRICE.AK-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : other","cents per kilowatthour","ELEC.PRICE.AK-OTH.A",14.37,14.04,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii","cents per kilowatthour","ELEC.PRICE.HI-ALL.A",,,,,,,,,,,,,,,,
"Hawaii : all sectors","cents per kilowatthour","ELEC.PRICE.HI-ALL.A",14.05,13.39,14.47,15.70,18.33,20.72,21.29,29.20,21.21,25.12,31.59,34.04,33.26,33.43,26.17,23.87
"Hawaii : residential","cents per kilowatthour","ELEC.PRICE.HI-RES.A",16.34,15.63,16.73,18.06,20.70,23.35,24.12,32.50,24.20,28.10,34.68,37.34,36.98,37.04,29.60,27.46
"Hawaii : commercial","cents per kilowatthour","ELEC.PRICE.HI-COM.A",14.81,14.11,15.02,16.19,19.04,21.42,21.91,29.72,21.86,25.93,32.37,34.88,34.05,34.21,26.93,24.64
"Hawaii : industrial","cents per kilowatthour","ELEC.PRICE.HI-IND.A",11.68,11.02,12.20,13.35,15.79,17.96,18.38,26.05,18.14,21.94,28.40,30.82,29.87,30.22,23.06,20.70
"Hawaii : transportation","cents per kilowatthour","ELEC.PRICE.HI-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
