"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Oct 24 2017 21:59:13 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rhode Island : all sectors","cents per kilowatthour","ELEC.PRICE.RI-ALL.A",11.45,9.20,10.47,10.96,11.97,13.98,13.12,16.04,14.22,14.07,13.04,12.74,13.72,15.41,17.01,16.24
"Rhode Island : residential","cents per kilowatthour","ELEC.PRICE.RI-RES.A",12.13,10.20,11.61,12.19,13.04,15.12,14.05,17.45,15.60,15.92,14.33,14.40,15.20,17.17,19.29,18.63
"Rhode Island : commercial","cents per kilowatthour","ELEC.PRICE.RI-COM.A",11.54,8.65,10.09,10.53,11.71,13.51,12.67,15.40,13.66,13.10,12.37,11.87,12.92,14.56,15.78,14.77
"Rhode Island : industrial","cents per kilowatthour","ELEC.PRICE.RI-IND.A",9.36,7.96,8.88,9.37,10.01,12.51,12.04,14.23,12.22,11.83,11.27,10.68,11.82,12.86,13.76,13.54
"Rhode Island : transportation","cents per kilowatthour","ELEC.PRICE.RI-TRA.A","--","--","--","--","--","--","--","--","--",13.73,14.11,8.28,13.03,14.89,18.54,18.76
"Rhode Island : other","cents per kilowatthour","ELEC.PRICE.RI-OTH.A",22.86,16.46,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont","cents per kilowatthour","ELEC.PRICE.VT-ALL.A",,,,,,,,,,,,,,,,
"Vermont : all sectors","cents per kilowatthour","ELEC.PRICE.VT-ALL.A",10.86,10.87,10.98,11.02,10.95,11.37,12.04,12.33,12.75,13.24,13.80,14.22,14.61,14.57,14.41,14.41
"Vermont : residential","cents per kilowatthour","ELEC.PRICE.VT-RES.A",12.67,12.78,12.82,12.94,12.96,13.39,14.15,14.48,14.90,15.57,16.26,17.01,17.14,17.47,17.09,17.33
"Vermont : commercial","cents per kilowatthour","ELEC.PRICE.VT-COM.A",11.28,11.10,11.29,11.42,11.33,11.67,12.29,12.49,12.93,13.44,14.00,14.32,14.66,14.56,14.54,14.49
"Vermont : industrial","cents per kilowatthour","ELEC.PRICE.VT-IND.A",7.89,7.90,8.05,7.96,7.77,8.33,8.92,9.19,9.21,9.53,9.83,9.98,10.84,10.23,10.27,10.06
"Vermont : transportation","cents per kilowatthour","ELEC.PRICE.VT-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : other","cents per kilowatthour","ELEC.PRICE.VT-OTH.A",18.85,19.26,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middle Atlantic","cents per kilowatthour","ELEC.PRICE.MAT-ALL.A",,,,,,,,,,,,,,,,
"Middle Atlantic : all sectors","cents per kilowatthour","ELEC.PRICE.MAT-ALL.A",9.74,9.58,10.09,10.29,11.07,11.92,12.31,13.17,12.92,13.60,13.37,12.75,12.85,13.41,13.00,12.63
"Middle Atlantic : residential","cents per kilowatthour","ELEC.PRICE.MAT-RES.A",11.46,11.33,11.62,11.81,12.49,13.36,13.95,14.88,14.84,15.81,15.80,15.27,15.70,16.39,15.97,15.76
"Middle Atlantic : commercial","cents per kilowatthour","ELEC.PRICE.MAT-COM.A",10.64,10.30,10.79,10.98,11.79,12.70,13.22,13.99,13.37,13.93,13.65,12.97,13.06,13.65,13.13,12.54
